[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20160701,1.00000000,1.00000000,1.00000000,1.00000000,0.02500839,0.02500839
20160702,1.00000000,1.00000000,1.00000000,1.00000000,7.40524873,7.40524873
20160710,1.00000000,1.00000000,1.00000000,1.00000000,1.99500000,1.99500000
20160718,1.00000000,1.00000000,1.00000000,1.00000000,0.26006497,0.26006497
20160729,0.99999999,1.00000000,0.99999999,1.00000000,2.96906958,2.96906961
20160821,1.00000000,1.00000000,1.00000000,1.00000000,2.00000000,2.00000000
20160907,0.85000002,0.85000002,0.85000000,0.85000000,2.61525651,3.07677237
20160911,0.85000000,0.85000000,0.85000000,0.85000000,0.30152448,0.35473469
20160912,0.85000000,0.99999631,0.85000000,0.99999631,10.81180839,11.60116380
20160913,0.99999631,0.99999631,0.99999631,0.99999631,0.00521154,0.00521156
20160915,0.98900000,1.25000000,0.98900000,1.25000000,43.43125238,40.34540739
20160916,1.25000001,1.29000000,1.25000000,1.29000000,163.03721937,130.13289275
20160917,1.29000000,1.29000000,1.29000000,1.29000000,7.27790065,5.64178346
20160919,1.19000000,1.39000000,1.19000000,1.39000000,122.92343526,94.81781701
20160920,1.38000000,1.99000000,1.38000000,1.39200000,291.64911798,194.52811704
20160921,1.39200000,1.40000000,1.06000000,1.39200000,330.99039312,258.11063691
20160922,1.39200000,1.49000000,1.07000001,1.20000000,150.78969561,119.18585484
20160923,1.20000000,1.24000000,1.19999999,1.23900000,27.16353704,22.14063747
20160924,1.07000000,1.24000000,1.04700000,1.23800000,282.54929088,247.20320080
20160925,1.23762000,1.23762000,1.01000000,1.01000000,144.99895611,117.30921248
20160927,1.23780000,1.23780000,1.23779990,1.23779990,38.00074593,30.70023102
20160930,1.19820000,1.19820000,1.19800000,1.19800000,33.58809481,28.03561127
20161001,1.01000000,1.01000000,1.01000000,1.01000000,50.50000000,50.00000000
20161003,1.01000000,1.01000000,1.01000000,1.01000000,42.72870258,42.30564614
20161004,1.01000007,1.01100000,1.01000000,1.01000000,140.43888160,139.04259443
20161007,0.99000000,0.99000000,0.93000000,0.93000000,113.41554415,119.08972297
20161008,1.05986200,1.05986200,1.05986200,1.05986200,1.89330130,1.78636587
20161009,1.05986200,1.08964200,1.05986200,1.08964200,26.03182347,24.46520088
20161011,0.99000000,0.99000000,0.93000000,0.93000000,113.11657503,115.15274144
20161013,0.93000000,0.93000000,0.91500000,0.91500000,0.30476182,0.32995110
20161017,1.08964200,1.08964200,1.08964200,1.08964200,49.87500000,45.77191408
