[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20160728,0.01000000,0.01000000,0.01000000,0.01000000,0.01000000,1.00000000
20160729,0.11750001,0.11750001,0.11750001,0.11750001,0.13894707,1.18252822
20160730,0.14219018,0.14219018,0.11750008,0.11750008,2.27787345,16.03780378
20160731,0.15715789,0.99999999,0.15380000,0.15380000,71.25240436,395.47166105
20160801,0.18299340,0.21000000,0.18000000,0.21000000,3.54137639,18.75428311
20160802,0.22111699,0.40973423,0.22111699,0.36008802,543.25140796,2073.12907152
20160803,0.30960008,0.31888804,0.23000001,0.30776404,359.69917973,1338.47623245
20160804,0.33908763,0.33908763,0.18000001,0.19928573,58.44606328,303.16195164
20160805,0.22099997,0.23539309,0.22000000,0.23299925,25.60169612,114.28306277
20160806,0.23299925,0.36008809,0.22071816,0.22071816,54.54754625,207.70543382
20160807,0.22689067,0.23369739,0.18000001,0.18000001,103.58535547,492.83187133
20160808,0.20822649,0.21447327,0.18000001,0.18000001,5.89789048,31.80935948
20160809,0.18000001,0.27039951,0.12169400,0.12780000,1537.29016878,9565.36147672
20160810,0.12780000,0.16736000,0.12770137,0.14000142,251.62866634,1941.37271270
20160811,0.13573000,0.16769400,0.13525000,0.16769400,0.22115537,1.62985558
20160812,0.17694000,0.18499900,0.13600000,0.13600000,174.65156727,969.62215976
20160813,0.15000000,0.15000000,0.15000000,0.15000000,3.65956333,24.39708895
20160814,0.17000000,0.17000000,0.13600000,0.13600000,0.13686078,0.89463937
20160815,0.18940000,0.18940000,0.18940000,0.18940000,6.27135090,33.11167322
20160816,0.18454000,0.18454000,0.17598000,0.17598000,0.22208991,1.21501000
20160817,0.18132939,0.18132939,0.13736000,0.16400000,51.86610817,320.41807702
20160818,0.15700001,0.16462999,0.15470000,0.15673000,9.43505359,60.47942740
20160819,0.15673000,0.16902013,0.15000005,0.16158052,48.92244305,320.58288583
20160820,0.16158052,0.16323711,0.15395592,0.15395592,4.29950642,27.33392286
20160821,0.15395593,0.15549548,0.15395592,0.15549548,13.23834292,85.53516012
20160822,0.15108527,0.15108527,0.14772069,0.14772069,6.38775983,42.61430791
