[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170704,0.00010000,0.00015001,0.00008300,0.00010600,768.93224479,7566032.29303301
20170705,0.00010600,0.00014910,0.00008300,0.00008900,1852.23961351,17181542.10924454
20170706,0.00008969,0.00009627,0.00005612,0.00007450,847.51558532,11530577.82710688
20170707,0.00007401,0.00007526,0.00003999,0.00005332,614.45842646,10259451.11357262
20170708,0.00005332,0.00006200,0.00005003,0.00005181,362.39976538,6877336.78407600
20170709,0.00005403,0.00005500,0.00004090,0.00005304,302.11205589,6116082.60902294
20170710,0.00005294,0.00006300,0.00004000,0.00005876,550.90040261,10702968.09770964
20170711,0.00005900,0.00008499,0.00005900,0.00008050,1095.47956052,15265565.17980426
20170712,0.00008100,0.00008622,0.00006800,0.00008190,460.92619014,5876933.82084175
20170713,0.00008016,0.00008360,0.00007100,0.00007465,404.62045916,5264236.98414892
20170714,0.00007371,0.00007451,0.00006261,0.00006261,515.06781775,7345790.49214548
20170715,0.00006472,0.00006501,0.00005503,0.00006060,206.81665153,3478272.13557589
20170716,0.00006060,0.00007500,0.00005821,0.00007500,413.97028112,6568388.11628377
20170717,0.00007313,0.00007642,0.00006055,0.00007105,365.92570865,5273030.21504757
20170718,0.00006953,0.00007041,0.00005509,0.00006010,595.26800908,9386756.31138703
20170719,0.00006010,0.00006095,0.00005000,0.00005860,407.72440712,7703149.50128991
20170720,0.00005650,0.00006005,0.00005218,0.00005390,271.65625465,4766903.01971119
20170721,0.00005391,0.00005785,0.00004201,0.00005103,215.76315143,4183617.50805915
20170722,0.00005110,0.00005510,0.00004914,0.00005050,266.57023642,5185472.01949070
20170723,0.00005044,0.00006000,0.00004960,0.00006000,305.59544634,5542494.72054668
20170724,0.00005988,0.00006549,0.00005621,0.00005952,492.69906036,8341653.89930229
20170725,0.00005970,0.00006000,0.00005299,0.00005457,388.14269328,6916673.05366650
20170726,0.00005571,0.00005658,0.00005101,0.00005202,395.62361653,7391275.20784918
20170727,0.00005464,0.00005654,0.00005202,0.00005390,525.49166999,9552449.71047556
20170728,0.00005566,0.00006286,0.00005390,0.00005834,839.49981272,14465916.37839847
20170729,0.00005834,0.00006100,0.00005600,0.00005700,372.69209121,6255560.30700021
20170730,0.00005600,0.00006144,0.00005409,0.00005750,190.18175276,3192352.94972607
20170731,0.00005974,0.00006104,0.00005502,0.00005700,663.00105426,11260632.86169774
20170801,0.00005701,0.00005952,0.00005413,0.00005531,1010.36085821,17898054.73912304
20170802,0.00005531,0.00005798,0.00005300,0.00005410,160.00067642,2903136.49362581
