[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170501,3.00000000,3.00000000,1.00000000,1.00000000,5.24654888,5.08218296
20170502,1.30000000,1.40000000,1.00000000,1.00000010,6.28985346,5.13516530
20170503,1.11000002,1.99999998,0.02000111,1.99999995,12.37775132,37.54528184
20170504,1.25584699,1.25584699,0.90000000,0.90000000,7.62474946,7.46104371
20170505,0.87090019,0.90709000,0.87090000,0.90709000,3.11497122,3.47936461
20170506,1.21708999,1.21708999,1.01720000,1.19000000,28.65807285,26.17812855
20170507,1.19000001,1.24399999,1.02720000,1.02720000,0.84757537,0.71707493
20170508,1.22399999,1.89999919,1.10911999,1.29999999,0.58559510,0.46571594
20170509,1.29999999,1.30000000,1.22000000,1.22000000,4.96050749,3.88511848
20170510,1.22000000,1.22000000,1.22000000,1.22000000,12.55162196,10.28821474
20170511,1.31000000,1.79999996,1.00000001,1.10000005,152.34784067,113.80295650
20170512,1.10000006,1.51620000,1.00000005,1.21000000,205.72050616,167.52097895
20170513,1.00000013,1.51619989,1.00000013,1.23000001,15.11241429,11.41789866
20170514,1.30999996,1.30999996,1.23000000,1.23000000,2.52124905,1.92688359
20170515,1.23000002,1.39988506,1.00001037,1.00501330,6.82586330,5.38091740
20170516,1.39986197,1.50000000,1.38099999,1.38100000,7.91372831,5.65473988
20170518,1.49964714,1.49964714,1.49964188,1.49964189,2.29933779,1.53325782
20170519,1.49982517,1.50000000,1.10511701,1.49999607,31.90689706,22.29441375
20170520,1.22200063,1.49892993,1.12000000,1.49892993,378.65258244,315.06787722
20170521,1.49892249,1.51999999,1.49890781,1.49999194,10.41067939,6.92567876
20170522,1.33004567,1.56000000,1.12001201,1.49999999,30.56051680,21.84833340
20170523,1.12002797,1.57497106,1.12002797,1.57497106,6.13211934,4.56177300
20170524,1.57494082,1.57499992,1.33704570,1.33704577,49.62097389,35.96509447
20170525,1.34000417,1.57388743,1.12002798,1.57386767,5.02933894,3.79451985
20170526,1.47384335,1.47384335,1.47360000,1.47360000,8.71722116,5.91537960
20170527,1.13005315,1.36841999,1.12002797,1.36841998,88.29969436,67.18272056
20170528,1.36841696,1.36841696,1.21000000,1.36839871,12.69271994,10.33812829
20170529,1.21001112,1.36840812,1.12002856,1.12002856,81.90613556,67.36331522
20170530,1.12003493,1.21000300,1.03900005,1.03900005,236.30010725,210.17049678
20170531,1.12600000,1.14000000,0.86173559,1.12749689,9.49522947,9.02790252
20170601,1.12749700,1.22895713,0.87000199,1.22696734,29.66965721,26.81227609
20170602,1.22674462,1.22674462,1.00010159,1.00010159,0.01392752,0.01370075
20170603,1.22669406,1.22669406,1.06016260,1.21795350,0.99445890,0.86002529
20170604,1.21792344,1.21792345,1.05000000,1.05000000,37.09572343,34.36068553
20170605,1.21770371,1.21770371,1.00010168,1.13183475,36.29529161,31.17633817
20170606,1.01013124,1.08281295,0.95503983,0.95503983,75.18486250,75.49719139
20170607,1.03000000,1.04900000,0.95400670,0.95400670,72.31251742,71.88277779
20170608,0.97500000,1.04583921,0.20000005,1.02577252,227.38960963,413.69565184
20170609,1.02695810,1.02695810,0.93004590,0.93004590,62.49711681,67.15382302
20170610,0.93004590,0.93004590,0.55000088,0.84994310,408.71251217,582.87735567
20170611,0.73592768,0.84982676,0.73592768,0.84981514,9.77157507,12.62247996
20170612,0.84970739,0.84970739,0.66000027,0.73433715,7.28775608,9.88212175
20170613,0.66842548,0.73437841,0.66842548,0.71995975,36.51370670,53.32837700
20170614,0.71989704,0.71989704,0.68450004,0.71981164,2.48528227,3.50161054
20170615,0.71980977,0.86246874,0.65401876,0.65407636,38.53092508,55.48522510
20170616,0.70804000,0.72720474,0.69012000,0.71000000,43.95662553,63.01981383
20170617,0.70997777,0.70997777,0.65407846,0.68500000,17.78388798,25.29053573
20170618,0.69996252,0.69996253,0.65403387,0.69795408,9.96086842,14.35792477
20170619,0.68999909,0.69803387,0.65456168,0.69803387,20.83691397,30.23721095
20170620,0.69803387,0.69803388,0.65000000,0.65000000,10.37816685,15.50230971
20170621,0.69803385,0.72000000,0.68000133,0.72000000,26.62226824,37.03302182
20170622,0.69004834,0.73439072,0.68000000,0.69000325,12.80418004,18.60759759
20170623,0.69014119,0.72000000,0.68680000,0.70333397,8.15904550,11.51610254
20170624,0.70333397,0.73431509,0.70333397,0.73410637,0.89971257,1.27244985
