[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170420,0.00190000,0.00350000,0.00190000,0.00201960,3.37809195,1304.94155540
20170421,0.00201960,0.00299990,0.00122060,0.00289900,13.55565736,6248.80628643
20170422,0.00289969,0.00289970,0.00284000,0.00284000,1.05508130,369.78890711
20170423,0.00209000,0.00260000,0.00199000,0.00199000,29.44969675,13978.27058431
20170424,0.00199020,0.00200000,0.00195000,0.00200000,19.10674012,9652.88793859
20170425,0.00283980,0.00283990,0.00283980,0.00283990,2.10253669,740.37468080
20170426,0.00230000,0.00283899,0.00190700,0.00267000,223.40306528,80121.52600769
20170427,0.00230000,0.00256998,0.00190817,0.00199911,34.58582675,15109.19559715
20170428,0.00250000,0.00256989,0.00199909,0.00207000,153.11705037,75473.03669732
20170429,0.00256000,0.00256995,0.00220000,0.00256995,8.20908939,3267.46402344
20170430,0.00256995,0.00337090,0.00256995,0.00335000,124.19862699,41021.50969644
20170501,0.00279000,0.00357000,0.00230011,0.00259100,451.77056597,164943.20087887
20170502,0.00259900,0.00356000,0.00235500,0.00300000,59.06861072,21003.96995831
20170503,0.00299999,0.00299999,0.00275000,0.00275000,124.01058509,41405.54440163
20170504,0.00275001,0.00300000,0.00250000,0.00260000,38.43520897,14199.75395450
20170505,0.00279998,0.00309907,0.00255000,0.00262000,90.50413674,32196.35148554
20170506,0.00270000,0.00287199,0.00250000,0.00287190,59.62171712,22797.32111002
20170507,0.00285499,0.00286994,0.00253588,0.00269542,7.76931597,2854.65495662
20170508,0.00253601,0.00309907,0.00241000,0.00275000,145.83799394,55257.31929352
20170509,0.00275001,0.00289999,0.00235000,0.00235000,273.03200960,109621.45907390
20170510,0.00235000,0.00280952,0.00165000,0.00255000,150.19250415,61017.69441313
20170511,0.00250000,0.00280000,0.00235002,0.00280000,42.88133180,16045.04748782
20170512,0.00279999,0.00299870,0.00250001,0.00251506,60.32649894,21246.77148445
20170513,0.00279995,0.00299872,0.00240015,0.00240020,60.52672583,22898.73733924
20170514,0.00240032,0.00259899,0.00226100,0.00259896,121.28540937,50049.23619297
20170515,0.00226101,0.00270000,0.00210001,0.00245980,93.85076558,39850.26636574
20170516,0.00221020,0.00245979,0.00220160,0.00222005,126.87751636,52817.38936825
20170517,0.00222111,0.00245221,0.00210000,0.00239499,88.95906160,40289.52063362
20170518,0.00225000,0.00279875,0.00210027,0.00266400,148.74175425,58668.13430701
20170519,0.00245002,0.00268029,0.00195000,0.00195000,95.57114822,41162.85805837
20170520,0.00224996,0.00225000,0.00199509,0.00202004,77.87747090,36515.97559450
20170521,0.00203005,0.00268029,0.00190000,0.00213365,269.47181001,117072.14726956
20170522,0.00213365,0.00227916,0.00165002,0.00200000,160.81389494,79191.54974295
20170523,0.00200000,0.00258876,0.00190800,0.00258873,545.10542724,229314.08654696
20170524,0.00245000,0.00285510,0.00222100,0.00254730,857.64302917,337683.53042248
20170525,0.00240000,0.00254727,0.00215000,0.00227100,320.67503488,139879.10825065
20170526,0.00219008,0.00247432,0.00218798,0.00229698,236.17576206,102038.64476239
20170527,0.00229698,0.00235000,0.00201201,0.00220302,201.47845007,91165.39953524
20170528,0.00212000,0.00299872,0.00212000,0.00285000,1137.55806416,418623.44122151
20170529,0.00281950,0.00298992,0.00232980,0.00240750,364.95037881,134925.12436448
20170530,0.00233012,0.00240000,0.00183990,0.00184000,551.68717463,256378.72756326
20170531,0.00184000,0.00210000,0.00150000,0.00193295,162.03426896,91727.86561764
20170601,0.00193294,0.00227300,0.00187834,0.00207891,221.40264863,104411.11532747
20170602,0.00215000,0.00240000,0.00200151,0.00215987,415.98722466,193549.65884949
20170603,0.00218999,0.00226942,0.00203712,0.00203712,287.01404470,133476.58848637
20170604,0.00203722,0.00216094,0.00185002,0.00196709,165.17397461,83907.50754453
20170605,0.00198799,0.00220000,0.00190009,0.00210037,218.55383381,104811.49075778
20170606,0.00210007,0.00210007,0.00191031,0.00206818,229.59206561,114050.79940745
20170607,0.00206850,0.00218511,0.00192502,0.00209013,548.44861067,261346.58399575
20170608,0.00209013,0.00216790,0.00195000,0.00204900,413.72344074,202759.81054466
20170609,0.00205899,0.00211888,0.00189001,0.00195700,399.71630094,200249.12158550
20170610,0.00189003,0.00209979,0.00169242,0.00189291,559.47264332,284317.74840378
20170611,0.00189186,0.00189186,0.00161000,0.00169934,180.83733795,104720.75622276
20170612,0.00169932,0.00178651,0.00111413,0.00129768,227.28746196,157170.28123007
20170613,0.00131203,0.00174993,0.00121419,0.00148000,767.75418781,511983.45321408
20170614,0.00148000,0.00158800,0.00135000,0.00150771,401.81106706,274120.85512136
20170615,0.00150698,0.00159900,0.00140000,0.00149998,248.32690381,167219.13428427
20170616,0.00149997,0.00175000,0.00144876,0.00155269,310.22059050,195545.03819232
20170617,0.00155141,0.00171277,0.00150280,0.00169809,254.75090723,160168.66262869
20170618,0.00169750,0.00174532,0.00153880,0.00161806,262.99710513,159923.07870508
20170619,0.00162295,0.00200000,0.00158298,0.00197000,728.09869246,395415.01207739
20170620,0.00199902,0.00199904,0.00162220,0.00188994,339.11465907,183067.88533447
20170621,0.00189500,0.00202181,0.00176000,0.00192990,240.83291288,127793.57633058
20170622,0.00191100,0.00202181,0.00180010,0.00187314,260.89192620,138407.10675404
20170623,0.00186000,0.00203535,0.00182876,0.00196999,423.88545333,220754.19531893
20170624,0.00197000,0.00209000,0.00193030,0.00205000,320.22308749,159860.81809721
20170625,0.00205000,0.00205962,0.00191001,0.00199990,518.70575652,265180.51221484
20170626,0.00199990,0.00204870,0.00170000,0.00198949,659.74229294,349781.03447388
20170627,0.00198940,0.00202080,0.00186001,0.00195888,404.95801212,206378.56363014
20170628,0.00195889,0.00200000,0.00176633,0.00185000,388.16796109,203700.24858113
20170629,0.00180000,0.00194117,0.00168500,0.00173201,505.93920554,281090.54543242
20170630,0.00173201,0.00183788,0.00167472,0.00169999,359.38307317,209241.74576710
20170701,0.00169999,0.00178809,0.00164699,0.00171785,560.34880943,331268.20936606
20170702,0.00171794,0.00171794,0.00161002,0.00163770,200.30369263,119454.31205442
20170703,0.00169540,0.00172500,0.00160011,0.00163899,323.09483735,196374.50008993
20170704,0.00168000,0.00179994,0.00161001,0.00177700,1022.90676741,620161.99690420
20170705,0.00179993,0.00184128,0.00169526,0.00173016,420.90080427,238571.88367968
20170706,0.00174003,0.00176974,0.00157191,0.00164795,1512.76985207,932938.32740654
20170707,0.00163000,0.00169790,0.00140111,0.00140431,578.11164590,374383.99054882
20170708,0.00143110,0.00164999,0.00137003,0.00156387,411.39757931,283373.81714977
20170709,0.00157990,0.00161530,0.00139500,0.00145858,495.17883670,339772.62330042
20170710,0.00145857,0.00148808,0.00115000,0.00122975,751.46908295,572955.12990377
