[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170502,0.00045000,0.00999999,0.00045000,0.00999999,17.08074445,16735.00998341
20170503,0.00056666,0.00349988,0.00056666,0.00152300,8.44558237,4201.71651886
20170504,0.00152300,0.00152300,0.00150010,0.00150010,2.29221738,1526.41003013
20170505,0.00160000,0.00200000,0.00110106,0.00200000,0.25516268,157.47546282
20170506,0.00200000,0.00200000,0.00160002,0.00199000,4.73994079,2576.05210977
20170507,0.00190000,0.00209999,0.00150000,0.00190000,44.21699315,26190.72116788
20170508,0.00190000,0.00198733,0.00173333,0.00173333,71.66430502,38345.98371005
20170509,0.00173333,0.00200000,0.00167710,0.00170105,19.39608900,10862.78890977
20170510,0.00170115,0.00183879,0.00165600,0.00183879,5.45363893,3227.13697471
20170511,0.00183879,0.00200000,0.00166660,0.00189999,16.46870455,8646.39743715
20170512,0.00166674,0.00166674,0.00157775,0.00157775,13.83362161,8555.95154784
20170513,0.00157776,0.00160000,0.00140000,0.00160000,14.72404919,10139.51107459
20170514,0.00160000,0.00169985,0.00142005,0.00142005,0.10000901,62.85675908
20170515,0.00142010,0.00199995,0.00142010,0.00190000,2237.99976610,1324397.97808535
20170516,0.00190000,0.00190001,0.00170000,0.00170000,83.48010307,44032.97494644
20170517,0.00184000,0.00192100,0.00184000,0.00192100,3.65421923,1923.99632228
20170518,0.00192100,0.00260000,0.00056899,0.00260000,874.64599454,621415.35144709
20170519,0.00225005,0.00229994,0.00190000,0.00190000,24.26564494,12097.39669254
20170520,0.00190000,0.00213999,0.00100000,0.00170000,230.76492032,153315.16671223
20170521,0.00170026,0.00199997,0.00155400,0.00190000,13.80545404,8374.74887442
20170522,0.00160001,0.00179999,0.00130000,0.00160000,30.99420055,21125.96776443
20170523,0.00150013,0.00179984,0.00140000,0.00150015,35.81661555,23422.52572218
20170524,0.00169999,0.00179986,0.00130002,0.00165000,29.27276987,17336.08045601
20170525,0.00165001,0.00165001,0.00140000,0.00150000,11.61635942,7444.41044905
20170526,0.00145100,0.00160000,0.00130108,0.00144998,20.92759820,14942.11429602
20170527,0.00144998,0.00145000,0.00121152,0.00135929,14.48789256,11048.32688105
20170528,0.00135929,0.00171021,0.00121400,0.00139968,20.35238090,13514.79288481
20170529,0.00130002,0.00139786,0.00110000,0.00129992,18.19353518,14773.56062220
20170530,0.00116121,0.00116121,0.00100000,0.00100000,9.24822627,8084.92146403
20170531,0.00111100,0.00140997,0.00093000,0.00093034,10.80522905,9592.36198273
20170601,0.00111111,0.00134472,0.00093366,0.00119499,55.57100046,43231.44569331
20170602,0.00129372,0.00134433,0.00122000,0.00132819,37.55899736,29379.26470163
20170603,0.00134286,0.00159992,0.00134286,0.00141000,54.09334489,37918.91129994
20170604,0.00141000,0.00157756,0.00124201,0.00124213,5.01200753,3879.11540358
20170605,0.00124217,0.00170000,0.00124210,0.00167964,52.08391610,32909.37881199
20170606,0.00167999,0.00170000,0.00137000,0.00157010,36.37732176,23552.70302859
20170607,0.00157010,0.00165131,0.00140215,0.00150401,18.86559516,11857.12239248
20170608,0.00164788,0.00171021,0.00142255,0.00171021,55.35930033,34724.53375543
20170609,0.00171147,0.00186500,0.00163808,0.00178000,85.47152028,47646.28447791
20170610,0.00173157,0.00173157,0.00124203,0.00125149,69.84517988,49330.97865606
20170611,0.00125200,0.00140000,0.00110041,0.00130000,5.32685882,4216.73879045
20170612,0.00120037,0.00149881,0.00066039,0.00097127,610.77708245,478671.49996674
20170613,0.00093000,0.00100000,0.00088833,0.00096000,8.59082662,9150.61527279
