[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170510,0.00050000,0.00100000,0.00008999,0.00094499,156.01243505,368395.85756188
20170511,0.00095499,0.00095500,0.00068000,0.00081851,139.14090884,170915.61275231
20170512,0.00081062,0.00081500,0.00062611,0.00081497,57.14086194,78145.89107576
20170513,0.00081300,0.00081300,0.00070010,0.00071350,39.14400141,50118.58591263
20170514,0.00081400,0.00081400,0.00060000,0.00074999,38.34806089,54309.63973543
20170515,0.00074980,0.00074980,0.00012103,0.00055275,610.63034716,1406817.82297968
20170516,0.00062998,0.00068877,0.00035010,0.00066254,548.11369443,1061802.04624736
20170517,0.00065555,0.00065555,0.00046019,0.00059966,60.29104277,113466.79518544
20170518,0.00047642,0.00077000,0.00046024,0.00068204,86.55624086,149221.49318345
20170519,0.00067865,0.00125314,0.00062104,0.00110001,337.76300605,391192.62942813
20170520,0.00124998,0.00125000,0.00071200,0.00115000,274.35627822,251411.96309868
20170521,0.00114002,0.00117000,0.00080004,0.00083000,221.44493732,231305.48498399
20170522,0.00083500,0.00110000,0.00035000,0.00080002,646.26626609,1057918.91247937
20170523,0.00104997,0.00107500,0.00069401,0.00107499,323.35385858,334251.79304303
20170524,0.00107499,0.00128000,0.00090867,0.00110000,363.67267572,331705.29139645
20170525,0.00110000,0.00119998,0.00102047,0.00102180,66.58156768,59202.89165178
20170526,0.00102180,0.00117785,0.00102180,0.00102347,100.29673883,91651.99673847
20170527,0.00114999,0.00115000,0.00072100,0.00082353,122.45444982,124586.87913627
20170528,0.00085495,0.00095474,0.00073351,0.00082605,79.44342823,95235.74553200
20170529,0.00082257,0.00102709,0.00060051,0.00068000,145.46633777,187138.19481273
20170530,0.00068020,0.00079996,0.00052825,0.00052825,68.00935614,110063.71631045
20170531,0.00053000,0.00063360,0.00050001,0.00052900,37.79618704,68133.57938988
20170601,0.00050000,0.00063357,0.00049208,0.00056130,46.09547057,82188.47863539
20170602,0.00055013,0.00079101,0.00053000,0.00069737,186.65943760,284966.43529965
20170603,0.00069736,0.00080967,0.00067080,0.00071043,526.10348892,676001.14886505
20170604,0.00071039,0.00077031,0.00060011,0.00063994,134.68149427,195940.38565701
20170605,0.00063994,0.00078900,0.00062283,0.00068000,94.68756166,137926.82041205
20170606,0.00068000,0.00070000,0.00060500,0.00066000,146.82193849,230013.11451401
20170607,0.00063698,0.00082100,0.00063548,0.00075000,318.17996775,443606.88094117
20170608,0.00075000,0.00100500,0.00072167,0.00084365,348.91321444,406759.81848315
