[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170617,0.00262423,0.00539793,0.00262423,0.00499498,17.28435878,3563.32443529
20170618,0.00499500,0.00543944,0.00370010,0.00420000,41.69442632,9582.27083681
20170619,0.00383519,0.00413486,0.00300015,0.00345000,30.92758800,8281.72200584
20170620,0.00369910,0.00948295,0.00300031,0.00617858,64.23809808,11563.87854044
20170621,0.00617858,0.00980000,0.00375823,0.00600000,35.82827759,5360.62437545
20170622,0.00600000,0.00698001,0.00500920,0.00550000,16.67738940,2842.76800129
20170623,0.00549999,0.00690792,0.00502164,0.00536973,2.93677778,498.95687817
20170624,0.00599984,0.00686700,0.00566497,0.00566497,22.89336922,3692.26998396
20170625,0.00677237,0.00708125,0.00560000,0.00660000,33.09466100,4877.22293725
20170626,0.00691310,0.00708125,0.00605384,0.00634795,5.67061393,848.75833870
20170627,0.00654278,0.00699999,0.00604864,0.00605419,4.57353759,679.75189901
20170628,0.00606286,0.00606286,0.00550000,0.00550000,3.58454219,609.79649189
20170629,0.00550000,0.00606276,0.00542200,0.00600000,1.98552482,348.75394480
20170630,0.00585000,0.00669000,0.00554678,0.00594630,14.85792442,2354.23645734
20170701,0.00594631,0.00668365,0.00591863,0.00665862,12.49621616,1942.51979315
20170702,0.00658607,0.00669000,0.00601516,0.00625251,5.44833617,836.28089788
20170703,0.00625251,0.08999918,0.00611554,0.00663745,30.82608510,3620.10171830
20170704,0.00663745,0.06999969,0.00631513,0.00649324,231.31048218,9165.03665186
20170705,0.00715459,0.00895697,0.00300001,0.00644241,61.08047954,11417.26037507
20170706,0.00601200,0.00644221,0.00360000,0.00610048,96.25798682,17198.05321979
20170707,0.00660448,0.00660448,0.00427119,0.00499999,80.99905772,15208.05896395
20170708,0.00504772,0.00525887,0.00499989,0.00499999,47.53960244,9450.96517321
20170709,0.00499998,0.00525626,0.00499998,0.00525041,4.06068139,812.07580588
20170710,0.00500000,0.00589837,0.00449744,0.00470000,22.63306005,4844.11836958
20170711,0.00469999,0.00549998,0.00426822,0.00467217,29.12573846,5995.12106513
20170712,0.00506052,0.00506052,0.00433472,0.00474601,3.41752264,778.13165228
20170713,0.00440593,0.00506110,0.00426825,0.00454969,34.53490910,7844.11258133
20170714,0.00456242,0.00460111,0.00433094,0.00433094,13.99891834,3080.00959136
20170715,0.00434400,0.00496399,0.00429774,0.00466666,11.60089419,2562.47573030
20170716,0.00469995,0.00522214,0.00448772,0.00448772,0.69983733,145.40680446
20170717,0.00448771,0.00507816,0.00429777,0.00429781,8.70956107,1966.21636888
20170718,0.00434492,0.00452111,0.00370093,0.00370093,17.63507429,4102.43705212
20170719,0.00387063,0.00679667,0.00387063,0.00595000,51.49503895,9681.23481893
20170720,0.00620000,0.00650000,0.00519501,0.00650000,14.43566425,2380.40003419
20170721,0.00588047,0.00588047,0.00370091,0.00506517,62.73296624,11841.87345093
20170722,0.00511110,0.00511368,0.00452293,0.00452293,7.62014313,1493.27208737
20170723,0.00457127,0.00487088,0.00375444,0.00486528,9.36694683,2113.46431672
20170724,0.00485998,0.00488888,0.00444444,0.00458858,77.15002206,16641.39165037
20170725,0.00467772,0.00467772,0.00431000,0.00457770,25.07486432,5492.29904314
20170726,0.00440001,0.00460003,0.00400001,0.00422220,41.95116779,9441.44036886
20170727,0.00439999,0.00459315,0.00387001,0.00455553,76.78575469,17720.76519847
20170728,0.00447775,0.00447775,0.00411109,0.00447755,8.46729981,1937.51478348
20170729,0.00450772,0.00470000,0.00400000,0.00400000,9.99008224,2341.67289693
20170730,0.00400001,0.00455827,0.00395000,0.00395000,15.39755919,3575.65289799
20170731,0.00390000,0.00444444,0.00387002,0.00387017,29.96695895,7271.62309991
20170801,0.00400000,0.00406542,0.00315620,0.00378991,23.96177048,6373.83458159
20170802,0.00399753,0.00399753,0.00369991,0.00369991,8.52188057,2238.18042713
