[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170625,0.19000000,0.19000000,0.10000000,0.14400018,132.38563191,892.86276692
20170626,0.14869915,0.16234459,0.14220465,0.15499063,600.53124947,3875.94345955
20170627,0.15150027,0.16088880,0.14110006,0.14110006,418.60873593,2714.59543585
20170628,0.14110008,0.15089886,0.13050631,0.13052368,267.29178781,1904.26627748
20170629,0.13052543,0.13886900,0.12811140,0.13338744,133.50219694,989.22942866
20170630,0.13775096,0.14500000,0.13388107,0.14400000,177.39130386,1270.79138911
20170701,0.13891215,0.14899626,0.13891215,0.14550000,232.48915538,1596.96874936
20170702,0.14626770,0.14899718,0.14104300,0.14503836,282.45981213,1925.03035729
20170703,0.14511000,0.16990361,0.14511000,0.16500000,666.89665735,4108.67982201
20170704,0.16500000,0.21000000,0.16487337,0.20799544,1411.87238958,7511.04648544
20170705,0.20799500,0.21687386,0.18999999,0.20050027,2821.02115138,14015.32997676
20170706,0.20050027,0.20050029,0.18341639,0.19200000,1492.20454839,7711.91815592
20170707,0.19539293,0.19700000,0.18106442,0.19699289,1981.07192384,10486.73830791
20170708,0.19607940,0.21459979,0.18526070,0.21339987,1448.00167822,7227.10739427
20170709,0.20999000,0.21338943,0.20000027,0.20899868,852.56488603,4097.89597004
20170710,0.20897605,0.22199527,0.20357000,0.21773198,2143.99368759,10184.81313665
20170711,0.21773204,0.23772882,0.20900054,0.22800864,5128.82529368,22515.98524108
20170712,0.22999702,0.23499997,0.21000000,0.21000000,2296.68597595,10264.57629829
20170713,0.21385276,0.22970000,0.20758680,0.22367959,1826.29343998,8379.05177875
20170714,0.22100002,0.22610000,0.21164565,0.21417860,1743.55362037,7868.35220481
20170715,0.21417860,0.22550000,0.20796350,0.22550000,1259.23262061,5850.32582877
20170716,0.22589950,0.26399999,0.22550000,0.26094659,3032.67929826,12228.93832352
20170717,0.25938092,0.26448000,0.22300003,0.22310069,2476.42959841,10175.78076998
20170718,0.22310069,0.23177000,0.16678771,0.18800049,2982.85368490,14683.23977410
20170719,0.19356760,0.21499772,0.17897100,0.20495823,2722.90827732,13804.57198610
20170720,0.20495803,0.20870203,0.18715907,0.19899996,1078.71083916,5467.17378340
20170721,0.19899960,0.21100000,0.19700174,0.21099999,1081.90784203,5299.06050241
20170722,0.21100000,0.21100000,0.19742101,0.20200000,490.29329602,2414.31475604
20170723,0.20200000,0.20401631,0.19497001,0.19600079,1029.84303715,5146.20797142
20170724,0.19800990,0.20250000,0.19360009,0.19813010,836.36687260,4236.35021088
20170725,0.19890000,0.21000273,0.19850011,0.20408280,1378.16627834,6753.61307638
20170726,0.20408394,0.21209999,0.20408394,0.20600000,1841.89561325,8882.76985344
20170727,0.20600000,0.20815599,0.20199982,0.20815599,1188.76102953,5774.20646650
20170728,0.20529905,0.21526687,0.20400000,0.21247998,989.58065885,4739.88736293
20170729,0.20985171,0.21699297,0.19800000,0.20100000,1421.64374593,6755.92984983
20170730,0.20100000,0.20799994,0.19810000,0.20650000,643.77359424,3152.56360859
20170731,0.20649989,0.22316433,0.20000000,0.21000010,1782.98046257,8477.08014115
20170801,0.21000010,0.21000010,0.18605518,0.18990005,1729.21941084,8779.59044846
20170802,0.18990005,0.19580999,0.18673121,0.19100000,1608.75110555,8498.12576078
