[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170702,1.00000000,1.00000000,0.00080230,0.00750440,1270.12455502,157874.27080895
20170703,0.00843967,0.01049952,0.00710000,0.00906000,638.24043491,76116.44849646
20170704,0.00906000,0.00939985,0.00790001,0.00849303,346.72957334,40200.39821117
20170705,0.00840000,0.00847464,0.00701001,0.00702055,236.89065868,30255.89127602
20170706,0.00702060,0.00773553,0.00650000,0.00773221,230.52536658,32837.42784290
20170707,0.00772907,0.00772907,0.00580000,0.00610000,191.80391153,28419.96302587
20170708,0.00610000,0.00687246,0.00534991,0.00543813,169.25187612,28573.40152264
20170709,0.00559999,0.00644999,0.00540006,0.00600007,102.90387627,17902.20416015
20170710,0.00604674,0.00604688,0.00426681,0.00499848,172.03115119,33902.84505680
20170711,0.00470101,0.00489997,0.00398600,0.00478875,132.28351469,30629.02890430
20170712,0.00478875,0.00490800,0.00410202,0.00435001,79.39553958,17417.50156531
20170713,0.00474360,0.00474360,0.00425067,0.00425080,50.79924062,11235.59973453
20170714,0.00439941,0.00458000,0.00400001,0.00400001,66.54342746,15393.20961287
20170715,0.00400000,0.00450358,0.00369498,0.00427216,51.46117621,12563.20161857
20170716,0.00427215,0.00486780,0.00427215,0.00441617,65.47739852,14171.75745695
20170717,0.00441691,0.00468989,0.00369501,0.00432001,26.92512430,6452.10224059
20170718,0.00432001,0.00453361,0.00331175,0.00370721,30.35299379,7846.09825918
20170719,0.00375000,0.00800465,0.00355000,0.00660014,206.79767170,35539.60229384
20170720,0.00660039,0.00707147,0.00461231,0.00510000,172.89722413,32707.78391175
20170721,0.00509766,0.00509766,0.00450000,0.00480000,41.65877390,8616.02369867
20170722,0.00480002,0.00480261,0.00430000,0.00450342,55.50053705,12347.74524493
20170723,0.00457212,0.00507497,0.00450341,0.00507497,22.54628044,4783.15109042
20170724,0.00507492,0.00529994,0.00462002,0.00529939,59.02874311,11649.09537597
20170725,0.00500418,0.00525596,0.00455501,0.00466015,55.66859763,11693.69004246
20170726,0.00466015,0.00517040,0.00433415,0.00436166,86.69226906,18878.19067686
20170727,0.00450000,0.00483537,0.00450000,0.00483529,30.07394679,6429.74905670
20170728,0.00484219,0.00500989,0.00462000,0.00471029,29.67926152,6163.16289554
20170729,0.00471030,0.00494194,0.00450000,0.00450000,28.91505688,6281.46939213
20170730,0.00445404,0.00488184,0.00445404,0.00474233,50.65340543,10910.28285586
20170731,0.00473639,0.00473639,0.00436000,0.00440565,44.78216943,10030.30389478
20170801,0.00440565,0.00459999,0.00380000,0.00409519,57.74031693,13620.12567994
20170802,0.00408891,0.00423399,0.00380000,0.00418433,89.70978604,23009.65517346
