[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170708,0.50000000,0.50000000,0.00502000,0.00502000,230.56645701,23857.23228745
20170709,0.00679936,0.00799999,0.00400009,0.00692133,367.85290672,64055.77328763
20170710,0.00693010,0.01400000,0.00693010,0.01075536,554.21508673,58330.03111658
20170711,0.01000001,0.02099989,0.00890314,0.01700000,1125.95958595,80828.56365468
20170712,0.01700000,0.02400000,0.01500000,0.01650001,1174.29479816,59622.29530211
20170713,0.01650001,0.01998674,0.01500002,0.01550587,432.16769045,26459.45816464
20170714,0.01552288,0.01700000,0.01201000,0.01270000,377.08332068,25720.20707103
20170715,0.01272463,0.01648990,0.01272463,0.01410004,119.69647153,8000.53239605
20170716,0.01410002,0.01581000,0.01250001,0.01357777,242.25394114,16162.23867978
20170717,0.01357776,0.01900008,0.01268471,0.01722205,269.91072604,17006.90707532
20170718,0.01810506,0.01889987,0.01268471,0.01376193,333.18695311,20712.44150813
20170719,0.01455329,0.01767890,0.01400000,0.01754908,302.97031940,18929.65277576
20170720,0.01749643,0.01850000,0.01580014,0.01820100,143.63883843,8275.97815890
20170721,0.01820100,0.01829999,0.01625186,0.01778961,91.35208800,5160.46654469
20170722,0.01778960,0.01850000,0.01694999,0.01731222,37.50112403,2089.49473465
20170723,0.01735000,0.01848000,0.01716468,0.01845000,160.44169928,9143.87462729
20170724,0.01845000,0.02099999,0.01745001,0.01990418,173.71703499,9040.73270862
20170725,0.01990418,0.02247689,0.01849000,0.01927843,485.96848519,23303.68346237
20170726,0.02079991,0.02210035,0.01937526,0.02182635,153.53688774,7392.07760801
20170727,0.02182590,0.02182590,0.01500000,0.02021747,338.80225021,16937.93602106
20170728,0.01999999,0.02099429,0.01750362,0.01821006,140.89236265,7323.21968756
20170729,0.01844253,0.02127357,0.01821001,0.01862769,110.72429519,5611.72712718
20170730,0.01900003,0.01999480,0.01821001,0.01909950,46.62358430,2486.46453959
20170731,0.01915753,0.01915753,0.01700010,0.01839248,118.54413900,6512.37716936
20170801,0.01829405,0.02020000,0.01610002,0.01724004,169.69414580,9700.85892336
20170802,0.01724006,0.01789444,0.01530002,0.01656867,91.18165913,5392.25203179
