[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170619,0.01920000,0.01920000,0.00127400,0.00983392,771.63523894,91766.79426213
20170620,0.00940000,0.01368100,0.00780371,0.00800000,1047.80937392,102142.33948308
20170621,0.00790070,0.00860968,0.00510000,0.00613270,917.40525382,142402.09711196
20170622,0.00648807,0.00780070,0.00620006,0.00661001,550.73934082,82636.43145225
20170623,0.00661003,0.00729000,0.00610237,0.00685996,513.92906892,77846.62122441
20170624,0.00694606,0.00798878,0.00660003,0.00678098,633.10244284,89239.17516492
20170625,0.00749996,0.00759900,0.00630005,0.00676779,326.09574373,47553.51732444
20170626,0.00676779,0.00722143,0.00550001,0.00649999,256.57430210,39733.07988083
20170627,0.00680000,0.00719000,0.00630000,0.00699323,147.47792166,21518.38132918
20170628,0.00698985,0.00698985,0.00530000,0.00539999,177.91225635,29312.22724820
20170629,0.00541017,0.00620000,0.00420011,0.00580000,203.18182900,38268.19918162
20170630,0.00538770,0.00599933,0.00511050,0.00511050,169.89736993,31728.81139999
20170701,0.00528999,0.00588000,0.00520000,0.00531225,170.98951274,30363.71002589
20170702,0.00531248,0.00562437,0.00420122,0.00485000,109.07801878,21283.73768599
20170703,0.00440000,0.00579004,0.00440000,0.00500063,196.02359470,38241.72397608
20170704,0.00500063,0.00530688,0.00480188,0.00514996,122.21951464,24125.88100955
20170705,0.00494807,0.00524472,0.00461000,0.00470000,161.52573528,33308.53142896
20170706,0.00470048,0.00500000,0.00450000,0.00492365,171.95869021,36111.33196306
20170707,0.00490000,0.00495000,0.00425003,0.00425003,66.11642732,14529.88962250
20170708,0.00439999,0.00444057,0.00410358,0.00410358,20.06949203,4761.08349489
20170709,0.00426643,0.00426643,0.00300305,0.00341276,145.37484873,39986.49620858
20170710,0.00347470,0.00376066,0.00252000,0.00281050,237.51881921,76272.42288211
20170711,0.00281050,0.00360906,0.00270000,0.00288822,87.75823026,29928.08952009
20170712,0.00288825,0.00331000,0.00288816,0.00318103,23.64697660,7969.31248929
20170713,0.00318103,0.00389420,0.00292030,0.00343736,66.85517218,18818.12492513
20170714,0.00356506,0.00375000,0.00305001,0.00307471,54.51592440,15867.66739682
20170715,0.00309522,0.00338553,0.00300000,0.00300000,35.07270890,11417.37916701
20170716,0.00302000,0.00320823,0.00292100,0.00292809,49.36937488,16039.44686070
20170717,0.00300386,0.00357982,0.00280000,0.00285025,68.37720167,22146.59851429
20170718,0.00285621,0.00335452,0.00285001,0.00301381,58.60108861,19915.81597641
20170719,0.00285002,0.00315000,0.00213750,0.00298509,136.51576528,50248.33324188
20170720,0.00314191,0.00315000,0.00281847,0.00290000,61.35604840,19836.05360483
20170721,0.00299999,0.00350999,0.00275000,0.00350999,74.11034408,24137.72163292
20170722,0.00326660,0.00374000,0.00307519,0.00370000,44.78302978,12702.06906268
20170723,0.00373971,0.00495000,0.00348484,0.00423075,118.69298889,28312.72525557
20170724,0.00436003,0.00461334,0.00375000,0.00436456,112.47477724,27126.66971636
20170725,0.00433006,0.00439779,0.00350000,0.00361547,73.78110994,18904.82055603
20170726,0.00370999,0.00406061,0.00362017,0.00393470,31.90106128,8184.20431787
20170727,0.00407566,0.00445765,0.00382838,0.00441999,43.29708715,9990.85424903
20170728,0.00420320,0.00437000,0.00412505,0.00420711,75.19555335,17757.44870018
20170729,0.00404130,0.00416872,0.00382009,0.00382014,54.13205534,13924.11262783
20170730,0.00382015,0.00402503,0.00352000,0.00390000,18.15936464,4872.22819883
20170731,0.00390000,0.00425000,0.00372140,0.00389993,35.80445700,8945.69890499
20170801,0.00389967,0.00390189,0.00350001,0.00389295,35.03017496,9369.99843904
20170802,0.00382000,0.00441000,0.00382000,0.00422063,74.75212035,17660.93824601
