[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170623,0.25000000,0.29745000,0.05000014,0.13780436,620.28180252,5680.97621939
20170624,0.13780436,0.36500000,0.12530533,0.36199996,3657.75203337,14422.29004423
20170625,0.35459690,0.57800000,0.23450905,0.31471370,6756.53840488,16362.07023637
20170626,0.31579449,0.35000000,0.21400000,0.23100000,6796.71708586,27627.93545832
20170627,0.23100000,0.26000000,0.15512320,0.18510001,2076.67560809,10550.37522547
20170628,0.18510001,0.20100000,0.16001003,0.16471962,1238.02676833,6861.84631758
20170629,0.16515738,0.16929265,0.13001000,0.14200000,674.24123815,4524.27612817
20170630,0.14789882,0.14789883,0.10000000,0.11600049,1086.31343796,9236.07306198
20170701,0.12877942,0.25989999,0.12500128,0.18029895,2745.38954415,13729.62994756
20170702,0.16582114,0.21205600,0.15000000,0.15000000,821.69448706,4730.38469775
20170703,0.15400000,0.17000000,0.15050000,0.15142203,315.69396806,2022.07032864
20170704,0.15142203,0.15998140,0.13500249,0.14851009,447.14006971,3023.93197135
20170705,0.14600143,0.15535970,0.14380195,0.14380195,151.53148575,1012.18212182
20170706,0.14452055,0.14969903,0.11000000,0.13400019,584.70172032,4685.53451739
20170707,0.13794473,0.13858030,0.10551237,0.11500000,309.49851248,2503.38815846
20170708,0.11510005,0.12550094,0.10500000,0.11254010,405.02022311,3622.07754887
20170709,0.11499527,0.12999999,0.10800284,0.12099308,229.66866582,1951.04563999
20170710,0.12088500,0.13110000,0.10500003,0.11300953,221.33673668,1942.72440831
20170711,0.11097000,0.12200004,0.10241264,0.10711901,419.07181357,3782.63941722
20170712,0.10711901,0.15998140,0.10250000,0.14000000,558.99521789,4257.58742566
20170713,0.13999974,0.14633458,0.12999978,0.12999978,144.58320293,1048.17876315
20170714,0.12999972,0.13334319,0.11360000,0.11674890,203.96740456,1643.53926631
20170715,0.11676128,0.12952149,0.10674891,0.11739823,182.11335721,1614.38596097
20170716,0.11000103,0.12999998,0.11000103,0.11100001,239.53472727,1977.55238848
20170717,0.11749140,0.12924451,0.11100000,0.12924451,229.32964822,1913.65068706
20170718,0.11750011,0.12400000,0.10800000,0.11803902,227.43640213,1980.12165497
20170719,0.11802333,0.16000000,0.10878600,0.14153229,536.84836211,3705.96932623
20170720,0.14153623,0.17300000,0.13300000,0.15749670,531.25073529,3358.74765412
20170721,0.16498727,0.17299999,0.14700000,0.15709000,124.50068379,773.51392856
20170722,0.15707852,0.18150000,0.15600000,0.15600005,185.33417965,1104.59998599
20170723,0.15610006,0.16600000,0.14250000,0.14512197,147.19292690,960.87336269
20170724,0.14250000,0.17000000,0.14100000,0.14899998,187.72390335,1213.90272591
20170725,0.14899999,0.15000000,0.13190669,0.13300102,228.07710787,1641.45905427
20170726,0.13391058,0.14185155,0.12500001,0.13274868,102.85347072,782.59693587
20170727,0.13499989,0.14900004,0.13000000,0.13500730,157.78743784,1139.28756947
20170728,0.13823278,0.13823278,0.12750000,0.13056412,99.40427491,769.45579005
20170729,0.13056412,0.13940000,0.12550011,0.12550011,71.52442811,543.29519374
20170730,0.13493868,0.13515000,0.12561260,0.13000101,16.92215709,126.93920573
20170731,0.12800016,0.13491123,0.11000000,0.12513080,162.68935031,1407.30499646
20170801,0.12524721,0.13485290,0.11500000,0.11500001,63.72722043,515.41026476
20170802,0.11505753,0.13780000,0.11000000,0.12719851,127.23293337,1024.96984099
