[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170716,0.00270000,0.00300000,0.00250000,0.00250040,451.17486050,161280.56732897
20170717,0.00259706,0.00380100,0.00245323,0.00308998,1113.70462214,359475.98020792
20170718,0.00304112,0.00444999,0.00293519,0.00365977,1320.10702482,346018.05634101
20170719,0.00364491,0.00379999,0.00286600,0.00300000,711.98553107,227547.45460358
20170720,0.00300000,0.00320000,0.00031000,0.00288112,670.62117341,279471.82459467
20170721,0.00290003,0.00358803,0.00284000,0.00332591,189.29335493,59118.11688572
20170722,0.00351331,0.00384693,0.00347721,0.00382796,304.55843594,82701.45807428
20170723,0.00382796,0.00700000,0.00371552,0.00660000,2555.85873177,521235.85790739
20170724,0.00660000,0.00696739,0.00572111,0.00690104,2603.52621885,400703.27293017
20170725,0.00679000,0.00690100,0.00554072,0.00605000,2240.92995072,356657.02731506
20170726,0.00617214,0.00644529,0.00558000,0.00590000,930.93068445,157835.86669662
20170727,0.00590000,0.00688441,0.00590000,0.00678361,1442.73470914,219161.87253249
20170728,0.00686912,0.00687999,0.00570000,0.00626450,1645.62461728,261109.87159121
20170729,0.00611252,0.00652812,0.00595714,0.00625630,790.46413449,127377.73312560
20170730,0.00625000,0.00645921,0.00606001,0.00616048,835.06088468,134834.17573628
20170731,0.00613831,0.00640500,0.00609419,0.00619684,640.46264360,102907.58849009
20170801,0.00619684,0.00660000,0.00570000,0.00580000,1534.29986737,254127.74432617
20170802,0.00580009,0.00630000,0.00572000,0.00630000,1098.74026199,183094.56234524
