[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170707,88888.88888888,88888.88888888,0.00350000,0.00462653,18854.52866050,3802535.50475273
20170708,0.00464999,0.00502850,0.00450100,0.00453002,7034.99577011,1478897.66719236
20170709,0.00453002,0.00467000,0.00355000,0.00380512,5225.77305340,1322752.32307918
20170710,0.00380000,0.00388000,0.00280000,0.00330000,4273.27814577,1322927.04048246
20170711,0.00338979,0.00363800,0.00274992,0.00347970,2653.12421549,821414.66598171
20170712,0.00343002,0.00380000,0.00340000,0.00351000,1952.12583364,542211.00960193
20170713,0.00351002,0.00374999,0.00336004,0.00345001,1249.61624336,345921.22072773
20170714,0.00349840,0.00360001,0.00335000,0.00343992,886.51473959,256610.19332057
20170715,0.00343333,0.00359999,0.00336000,0.00357590,659.03762667,192517.38649883
20170716,0.00356843,0.00370000,0.00345007,0.00364645,816.92951333,230023.33087440
20170717,0.00359999,0.00374999,0.00332999,0.00374999,1187.51098337,339850.97321488
20170718,0.00374999,0.00375000,0.00285000,0.00313000,1544.95717697,460489.15625986
20170719,0.00313000,0.00324000,0.00280051,0.00323999,1032.46445774,338587.76229527
20170720,0.00323998,0.00323999,0.00301000,0.00319775,1287.17349832,409594.94780473
20170721,0.00319607,0.00320000,0.00287001,0.00315799,743.55388660,248131.60866249
20170722,0.00306601,0.00360000,0.00306597,0.00349000,1080.42232362,313072.17025889
20170723,0.00349000,0.00391000,0.00336824,0.00389000,1726.79295897,461814.37080692
20170724,0.00391970,0.00550000,0.00391970,0.00489352,5417.56024189,1117851.70022643
20170725,0.00489352,0.00548998,0.00410000,0.00416370,2430.91692654,524410.18281847
20170726,0.00416370,0.00490000,0.00400100,0.00476499,1632.58596332,366099.30092683
20170727,0.00485000,0.00485000,0.00451010,0.00480000,1153.42809714,245032.85375539
20170728,0.00480000,0.00484500,0.00440005,0.00463200,1026.81961583,224191.50010696
20170729,0.00465200,0.00474252,0.00443000,0.00458005,603.14630800,131159.47291091
20170730,0.00450008,0.00462497,0.00440004,0.00454000,557.96556827,125015.33777522
20170731,0.00459500,0.00459999,0.00440010,0.00446278,693.94357882,154757.06193587
20170801,0.00446278,0.00455140,0.00404551,0.00418000,1796.32513617,415539.20516953
20170802,0.00418000,0.00430000,0.00401001,0.00430000,824.48260943,196668.09216936
