[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170618,0.00296480,0.00391754,0.00015085,0.00081000,416.19461195,482452.98154989
20170619,0.00080999,0.00195900,0.00070000,0.00124250,3212.18025087,2891538.76826237
20170620,0.00129027,0.00157233,0.00091010,0.00124000,664.33830598,556336.54922682
20170621,0.00124900,0.00138738,0.00091045,0.00101852,283.34841771,257656.72888444
20170622,0.00101565,0.00101570,0.00080000,0.00095635,299.53692643,324040.54227000
20170623,0.00086500,0.00120819,0.00086500,0.00104932,249.49390511,243910.80774957
20170624,0.00104920,0.00104924,0.00080100,0.00098779,514.84111501,593218.21437041
20170625,0.00098773,0.00098779,0.00068020,0.00072115,257.08530042,310218.65049884
20170626,0.00072121,0.00094965,0.00069824,0.00081600,271.95080092,332613.45311659
20170627,0.00082000,0.00097590,0.00071000,0.00071009,279.29615484,340205.21629847
20170628,0.00073978,0.00078466,0.00061047,0.00062055,117.41438323,168520.24423660
20170629,0.00064797,0.00065014,0.00060000,0.00063830,101.20550927,164714.96613404
20170630,0.00063756,0.00063760,0.00052226,0.00058815,89.91021749,162714.14614680
20170701,0.00054413,0.00079818,0.00053600,0.00071429,93.30518727,134527.16526059
20170702,0.00072249,0.00108900,0.00065001,0.00092128,349.54359069,395506.43981841
20170703,0.00092128,0.00106000,0.00084000,0.00089972,289.02218359,310945.61386158
20170704,0.00087056,0.00090845,0.00076002,0.00076078,249.49295658,295609.33526396
20170705,0.00076500,0.00086000,0.00076000,0.00081616,91.09419391,111005.58522049
20170706,0.00081616,0.00087000,0.00077701,0.00086000,62.26517941,73942.69117983
20170707,0.00086950,0.00087900,0.00072056,0.00074689,90.60340699,111296.83336850
20170708,0.00074679,0.00082999,0.00072844,0.00074025,117.44645245,155106.80282977
20170709,0.00074801,0.00077124,0.00067000,0.00076072,56.84616549,78583.18362279
20170710,0.00067242,0.00081000,0.00058888,0.00063002,170.30148815,256049.77008292
20170711,0.00063002,0.00068000,0.00060052,0.00060540,101.67295543,163930.12759688
20170712,0.00060100,0.00066000,0.00055001,0.00062742,119.28581986,198269.76051766
20170713,0.00060743,0.00071079,0.00058701,0.00058805,80.17062018,124652.17790649
20170714,0.00058945,0.00062665,0.00054302,0.00054401,99.25810596,170670.60162753
20170715,0.00054413,0.00059239,0.00052000,0.00058851,81.08089156,149173.27595961
20170716,0.00058792,0.00061998,0.00054806,0.00061824,28.51919971,47720.87956598
20170717,0.00056392,0.00064999,0.00056193,0.00059029,30.91940065,50957.46690304
20170718,0.00058114,0.00064576,0.00045000,0.00056397,41.42547450,77121.76897510
20170719,0.00048897,0.00063990,0.00047511,0.00062986,45.82769967,79679.53436117
20170720,0.00059001,0.00077110,0.00057000,0.00075810,59.24807023,90111.45581002
20170721,0.00077974,0.00079000,0.00061010,0.00074998,6.51251069,8934.56444981
20170722,0.00071161,0.00085227,0.00071000,0.00081327,123.92842529,161597.34843443
20170723,0.00081327,0.00090000,0.00078120,0.00086600,102.73907266,120775.52184168
20170724,0.00084079,0.00097000,0.00075002,0.00083575,102.14590545,118258.50260323
20170725,0.00085145,0.00085996,0.00043215,0.00078386,99.93875153,138511.57685785
20170726,0.00070555,0.00077152,0.00060109,0.00066230,29.96779034,43184.34405091
20170727,0.00069109,0.00071900,0.00061021,0.00064844,28.90193582,43460.00707336
20170728,0.00064756,0.00069772,0.00056242,0.00066011,72.14234968,114314.14319206
20170729,0.00063207,0.00069897,0.00061856,0.00065000,7.22379147,10959.72111266
20170730,0.00065001,0.00069319,0.00056300,0.00069319,19.11007086,30655.85344149
20170731,0.00068367,0.00068371,0.00060000,0.00061000,37.63934735,59978.02862737
20170801,0.00060200,0.00082097,0.00059001,0.00062214,116.14443867,171653.40403981
20170802,0.00060992,0.00073305,0.00060674,0.00069450,58.92999789,89474.45006930
