[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170611,0.00289990,0.00289990,0.00200000,0.00200000,4.26730093,1522.34734219
20170612,0.00200000,0.00251000,0.00121122,0.00181361,30.78645231,17637.71066099
20170613,0.00181361,0.00461000,0.00175000,0.00351814,342.38847709,132894.54897515
20170614,0.00351814,0.00659000,0.00285057,0.00488851,796.19741537,203025.79823844
20170615,0.00488851,0.00709994,0.00350000,0.00499983,2366.78492797,422757.14566860
20170616,0.00500000,0.00519988,0.00410000,0.00429176,550.53032573,125124.31778197
20170617,0.00420107,0.00439932,0.00315000,0.00354220,410.87864236,110343.54558178
20170618,0.00350001,0.00361558,0.00280030,0.00302718,200.53771919,63014.62177099
20170619,0.00320685,0.00320685,0.00215000,0.00268826,301.29961692,109034.58599555
20170620,0.00266985,0.00274998,0.00229999,0.00249298,102.75635784,41820.09665561
20170621,0.00242000,0.00290000,0.00220027,0.00270000,143.85482685,55989.64895167
20170622,0.00250900,0.00409917,0.00250900,0.00399547,689.68665378,193148.23815286
20170623,0.00370100,0.00399527,0.00346000,0.00371000,199.31440913,54408.67265234
20170624,0.00389842,0.00397271,0.00323396,0.00323396,146.63950854,39913.59281393
20170625,0.00336322,0.00374998,0.00300195,0.00309106,98.54076884,29308.36625565
20170626,0.00324455,0.00369000,0.00305099,0.00315000,69.66856063,20515.88018848
20170627,0.00345000,0.00371500,0.00307500,0.00307500,97.47596499,28843.96811217
20170628,0.00307510,0.00371500,0.00280000,0.00280000,214.91729952,66603.13563280
20170629,0.00280000,0.00295000,0.00265000,0.00278630,129.06308066,46168.61441967
20170630,0.00278631,0.00285000,0.00230008,0.00285000,159.04421046,59569.09876908
20170701,0.00262045,0.00285000,0.00250000,0.00254993,95.18747737,36091.12454084
20170702,0.00253165,0.00290999,0.00240000,0.00260800,127.10762822,49222.40279657
20170703,0.00260854,0.00284765,0.00247500,0.00276502,55.80754845,21237.09784162
20170704,0.00276122,0.00284700,0.00252400,0.00278159,68.17457813,25442.30752754
20170705,0.00278159,0.00281162,0.00205000,0.00220600,119.16770502,48705.96976281
20170706,0.00227381,0.00244928,0.00208038,0.00208075,85.60438606,38659.91347184
20170707,0.00212553,0.00224999,0.00185998,0.00224999,74.36534134,36464.32477669
20170708,0.00210001,0.00223079,0.00190569,0.00223078,27.88007578,13488.83180351
20170709,0.00218000,0.00218000,0.00190111,0.00199013,14.94355349,7384.80868800
20170710,0.00203275,0.00210131,0.00170001,0.00179500,45.39193787,24115.84197554
20170711,0.00179500,0.00220823,0.00179500,0.00205360,34.61213796,17040.56850328
20170712,0.00209991,0.00230000,0.00180000,0.00198000,63.47402377,31839.78538440
20170713,0.00199353,0.00217000,0.00192877,0.00193803,26.55821205,13146.68161832
20170714,0.00197868,0.00207067,0.00193660,0.00204387,24.59720836,12439.98283282
20170715,0.00199131,0.00207080,0.00193658,0.00195326,28.11246069,14278.70169082
20170716,0.00195345,0.00222200,0.00195000,0.00206459,86.77713209,41212.74211252
20170717,0.00222200,0.00227983,0.00201093,0.00224307,81.35145810,37589.44126802
20170718,0.00224148,0.00229000,0.00180000,0.00207358,99.09564831,47177.41229731
20170719,0.00203284,0.00240000,0.00182855,0.00237381,65.59352261,29383.21500242
20170720,0.00237158,0.00276105,0.00219925,0.00250061,97.52605953,39485.06557211
20170721,0.00250410,0.00278994,0.00227864,0.00227871,54.16137683,21682.18815412
20170722,0.00251787,0.00270000,0.00220976,0.00260000,217.30600778,95517.26836996
20170723,0.00259999,0.00260000,0.00236650,0.00258000,51.80124525,20563.66923261
20170724,0.00260000,0.00264802,0.00236640,0.00240000,26.39104442,10631.71866429
20170725,0.00240000,0.00255837,0.00219925,0.00220000,62.33151129,27492.43672794
20170726,0.00220000,0.00229828,0.00203803,0.00212674,79.15601819,36341.02790168
20170727,0.00224508,0.00242625,0.00218000,0.00242624,50.81422252,21705.29764774
20170728,0.00242600,0.00242747,0.00061421,0.00183997,866.59204018,545183.90513987
20170729,0.00183948,0.00190000,0.00155002,0.00158000,295.84820171,169157.93658364
20170730,0.00158000,0.00169151,0.00155002,0.00164000,36.84725907,22591.56554651
20170731,0.00157099,0.00175000,0.00151002,0.00155004,109.62073291,68614.66011526
20170801,0.00160270,0.00167367,0.00135000,0.00150000,130.52140372,87430.51111728
20170802,0.00146430,0.00164900,0.00137006,0.00152435,72.93725529,49806.45388526
