[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170720,0.90000000,0.90000000,0.03098804,0.03500000,100.55301938,2632.83103355
20170721,0.03500000,0.06699954,0.03200000,0.03632671,1241.97005237,33101.75003675
20170722,0.03600000,0.03632671,0.03212123,0.03212123,452.93059000,13189.08006088
20170723,0.03212128,0.03430000,0.03000000,0.03100980,656.04657057,20965.21160243
20170724,0.03020000,0.03335976,0.02980003,0.03208294,480.12371288,15531.53649760
20170725,0.03289935,0.03332629,0.02900000,0.02970000,911.63065638,29761.31112790
20170726,0.02998498,0.03089507,0.02700015,0.03089501,533.36625526,18208.17078335
20170727,0.03089501,0.03130000,0.02900000,0.03000000,274.42452229,9022.97924351
20170728,0.03006107,0.03110000,0.02759035,0.02950000,338.97833738,11882.41547576
20170729,0.02950000,0.03089842,0.02750000,0.02800000,167.82074896,5841.33040781
20170730,0.02800000,0.02987385,0.02710000,0.02809106,84.19467709,3047.01544903
20170731,0.02809106,0.03200000,0.02745000,0.03000174,644.40877223,22138.81567917
20170801,0.02998998,0.03199984,0.02765000,0.02808257,496.38087241,16980.08276975
20170802,0.02808580,0.03081320,0.02808580,0.02981391,383.92360167,13205.23835890
