[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170502,0.00003890,0.07020000,0.00003890,0.02499999,2.61498992,139.50271412
20170503,0.02499889,0.02499997,0.00088000,0.01000000,19.19699795,1823.55850090
20170504,0.01000000,0.01100000,0.00809250,0.00999999,87.22435495,9773.86753968
20170505,0.00730268,0.01000000,0.00700100,0.00787000,47.74273383,6033.13134495
20170506,0.00750000,0.00899858,0.00013900,0.00839702,92.96358909,27940.41694650
20170507,0.00669999,0.00787999,0.00635000,0.00778899,8.25620057,1198.26667500
20170508,0.00635501,0.00778899,0.00357008,0.00500000,61.13921971,8414.61610496
20170509,0.00520500,0.00694998,0.00520500,0.00600000,23.02805488,3812.45664687
20170510,0.00600002,0.00684959,0.00520809,0.00610000,160.40185047,26587.43949147
20170511,0.00649999,0.00680000,0.00649999,0.00680000,7.55478455,1149.55786858
20170512,0.00679999,0.00679999,0.00530000,0.00679993,14.33287097,2235.22304082
20170513,0.00679993,0.00679993,0.00540002,0.00555655,1.52360141,232.99734206
20170514,0.00595688,0.00595688,0.00540000,0.00540000,34.77124211,6191.82076016
20170515,0.00549999,0.00689898,0.00380012,0.00689898,24.28822061,5017.17514561
20170516,0.00484627,0.00689883,0.00484625,0.00680000,7.22041647,1232.41158158
20170517,0.00550001,0.00669996,0.00500000,0.00550000,128.84801162,21763.67310086
20170518,0.00550001,0.00659990,0.00420005,0.00555550,503.77357450,92177.89700337
20170519,0.00420009,0.00529986,0.00360000,0.00378100,97.22399254,22647.28607054
20170520,0.00438100,0.00438100,0.00360000,0.00371000,15.18603188,3475.04143465
20170521,0.00448987,0.00448987,0.00260007,0.00355545,17.48268704,4899.17619471
20170522,0.00330000,0.00339970,0.00210000,0.00339970,132.30182201,40964.95795137
20170523,0.00300000,0.00339968,0.00232006,0.00320000,7.35683452,2372.76434792
20170524,0.00320000,0.00399798,0.00250007,0.00340000,87.94001716,28400.62277975
20170525,0.00340000,0.00399788,0.00250000,0.00300010,73.58890178,24545.56721381
20170526,0.00310004,0.00389986,0.00252009,0.00310000,22.13782586,6873.51878645
20170527,0.00389878,0.00389878,0.00252013,0.00379992,40.09896958,12830.67618915
20170528,0.00349986,0.00349986,0.00253002,0.00306750,11.64949858,4324.95553835
20170529,0.00289969,0.00309000,0.00189000,0.00290797,151.43049141,64733.14407689
20170530,0.00290000,0.00308999,0.00210500,0.00222506,72.15001066,30183.83812886
20170531,0.00222506,0.00389882,0.00189056,0.00275000,78.08067008,25785.36430748
20170601,0.00255000,0.00324960,0.00230000,0.00324683,560.56600899,204972.00407695
20170602,0.00234757,0.00389882,0.00234757,0.00389882,518.77209416,173745.43773920
20170603,0.00389882,0.00439872,0.00354720,0.00383000,842.19598414,209169.80071059
20170604,0.00399999,0.00449798,0.00320000,0.00449798,205.35151664,55186.56270088
20170605,0.00449798,0.00470098,0.00380583,0.00469680,303.97563500,68524.45590883
20170606,0.00469679,0.00479720,0.00403004,0.00469898,118.76385574,26159.46285077
20170607,0.00469628,0.00496532,0.00410377,0.00496024,202.10308317,41633.34980626
20170608,0.00451206,0.00468018,0.00402337,0.00429515,168.55721057,40440.76793499
20170609,0.00429455,0.00429700,0.00300000,0.00330953,219.57320586,60664.56207115
20170610,0.00331000,0.00359935,0.00251200,0.00251200,189.03980266,65919.88322624
20170611,0.00251200,0.00267904,0.00210000,0.00230000,20.92851595,8901.09958058
20170612,0.00219196,0.00259404,0.00180204,0.00195392,50.99820983,24030.05702192
20170613,0.00195411,0.00239969,0.00167754,0.00180237,54.56912882,27989.48807095
20170614,0.00193665,0.00209062,0.00178000,0.00184324,75.09270166,38989.79564955
20170615,0.00184324,0.00203463,0.00180651,0.00185094,86.42289953,46138.11590351
20170616,0.00195240,0.00231025,0.00185073,0.00231019,117.61987771,56446.47409517
20170617,0.00220003,0.00243000,0.00195230,0.00200212,148.59705468,69326.33326826
20170618,0.00209993,0.00209993,0.00176169,0.00191757,60.44675240,31443.13870651
20170619,0.00191977,0.00202400,0.00174002,0.00189485,85.87071495,44769.20211465
20170620,0.00185992,0.00228564,0.00178372,0.00193596,59.42191888,29647.29366151
20170621,0.00201295,0.00236000,0.00183556,0.00217720,27.30499410,12983.53872672
20170622,0.00217720,0.00310000,0.00198978,0.00273000,108.44197986,44804.06587949
20170623,0.00273000,0.00273000,0.00230011,0.00253000,92.11537064,36608.54479859
20170624,0.00240071,0.00257740,0.00220000,0.00250000,135.72160980,56212.04355137
20170625,0.00250000,0.00280000,0.00217672,0.00233283,85.04899854,35757.66226768
20170626,0.00246789,0.00254934,0.00231000,0.00231526,92.89380906,38556.49457347
20170627,0.00244589,0.00265000,0.00225454,0.00248562,106.33805291,43708.89962283
20170628,0.00248559,0.00248559,0.00202611,0.00205013,61.48420507,27450.07195434
20170629,0.00205013,0.00219140,0.00195000,0.00199388,14.08478279,7045.91851256
20170630,0.00200576,0.00216832,0.00191200,0.00205723,49.09843754,24164.57562074
20170701,0.00202203,0.00210808,0.00195673,0.00205000,2.09634011,1014.95953276
20170702,0.00204999,0.00211234,0.00191219,0.00194980,81.03688685,41023.61172096
20170703,0.00191219,0.00210000,0.00191219,0.00200331,45.54284526,23082.54894070
20170704,0.00212699,0.00216408,0.00200021,0.00209942,39.28238572,18723.98990451
20170705,0.00209942,0.00232000,0.00206645,0.00211964,8.31863079,3819.26415297
20170706,0.00218607,0.00218614,0.00158949,0.00181000,172.30134535,91643.37100409
20170707,0.00181000,0.00196404,0.00120000,0.00151800,96.22298157,59606.49467013
20170708,0.00151800,0.00189999,0.00150000,0.00179892,55.60912111,34867.65222738
20170709,0.00179725,0.00179950,0.00169117,0.00170000,43.35249862,25011.85478803
20170710,0.00175584,0.00175613,0.00151322,0.00161904,133.61913323,82172.60237402
20170711,0.00161865,0.00208000,0.00151101,0.00189110,143.21420548,78561.46047774
20170712,0.00189363,0.00198086,0.00162585,0.00169920,64.92675810,36150.53379576
20170713,0.00183392,0.00183405,0.00162639,0.00175484,47.49268802,26438.98624708
20170714,0.00169899,0.00179874,0.00162589,0.00165097,10.45660422,6098.65719867
20170715,0.00165355,0.00178550,0.00154005,0.00164520,32.13455304,19456.08370322
20170716,0.00163500,0.00189116,0.00155657,0.00168047,50.78737616,28677.44251210
20170717,0.00186663,0.00192688,0.00165000,0.00180000,14.09227724,7787.91514087
20170718,0.00181500,0.00200000,0.00164917,0.00164917,17.73263347,9684.28099328
20170719,0.00165320,0.00181261,0.00154003,0.00174712,20.01960637,12183.51710151
20170720,0.00162765,0.00207995,0.00160099,0.00171779,33.47958515,18068.70248487
20170721,0.00176185,0.00198900,0.00166310,0.00198900,7.29686957,3843.92977837
20170722,0.00189020,0.00207991,0.00181740,0.00187931,35.69407658,17666.56480959
20170723,0.00199583,0.00207726,0.00180478,0.00187399,12.87881956,6674.14565337
20170724,0.00189999,0.00247142,0.00186555,0.00228100,113.18758996,51783.01375718
20170725,0.00230217,0.00244964,0.00194003,0.00194003,36.54155478,16798.18782234
20170726,0.00206728,0.00215964,0.00197432,0.00197432,15.80015044,7496.31358224
20170727,0.00197432,0.00205000,0.00194000,0.00197500,66.37562246,33817.45405044
