[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170714,0.00029900,0.00029900,0.00002256,0.00003747,23.51460546,588084.57152381
20170715,0.00003736,0.00003747,0.00003406,0.00003745,51.55225949,1431521.51697339
20170716,0.00003745,0.00003987,0.00003650,0.00003800,61.37537933,1625359.95530695
20170717,0.00003798,0.00003900,0.00003664,0.00003734,41.80002554,1099561.36996821
20170718,0.00003890,0.00003900,0.00003000,0.00003302,117.75082716,3207511.06135251
20170719,0.00003458,0.00003885,0.00003304,0.00003874,81.31336147,2321365.32058107
20170720,0.00003870,0.00004100,0.00003500,0.00003846,149.78224045,4002037.00280249
20170721,0.00003846,0.00004200,0.00003800,0.00004165,100.31989535,2522201.82293400
20170722,0.00004165,0.00004600,0.00004014,0.00004195,150.17288601,3377002.47852565
20170723,0.00004509,0.00005421,0.00004161,0.00004448,382.68018310,8556621.90073319
20170724,0.00004450,0.00005499,0.00004260,0.00004828,497.14194853,10343624.20175900
20170725,0.00005135,0.00005135,0.00004100,0.00004305,447.90601275,9920858.40900537
20170726,0.00004439,0.00004489,0.00004103,0.00004315,193.83563870,4566254.06753645
20170727,0.00004297,0.00004350,0.00004106,0.00004180,131.73415253,3119711.67810746
20170728,0.00004245,0.00004292,0.00003951,0.00004278,242.90388327,5837692.76726227
20170729,0.00004235,0.00004415,0.00004016,0.00004032,241.82651997,5693653.25057801
20170730,0.00004051,0.00004368,0.00003980,0.00004140,282.96934399,6829267.13991262
20170731,0.00004141,0.00004200,0.00004000,0.00004098,259.22508745,6368337.04967062
20170801,0.00004087,0.00004123,0.00003711,0.00003952,560.83891411,14408040.59189231
20170802,0.00003850,0.00005000,0.00003722,0.00003958,820.43699125,19332297.31741415
