[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170501,0.00165163,0.00500000,0.00050000,0.00109991,34.11530136,21907.87150361
20170502,0.00128000,0.00275000,0.00101001,0.00199400,95.66146695,68647.95846135
20170503,0.00190000,0.00190000,0.00110000,0.00144222,43.90009551,33836.31516393
20170504,0.00144209,0.00144209,0.00120000,0.00130000,68.79118947,51268.77990982
20170505,0.00120002,0.00134910,0.00100000,0.00100000,62.43452883,53247.33734769
20170506,0.00129801,0.00129801,0.00074002,0.00129395,116.71752011,116610.30129478
20170507,0.00128821,0.00128821,0.00100002,0.00126861,24.54875813,19125.88687907
20170508,0.00120000,0.00134820,0.00118154,0.00134820,201.45091049,155767.23299874
20170509,0.00134820,0.00134820,0.00110000,0.00126888,529.24550632,396639.21512494
20170510,0.00134719,0.00144982,0.00119998,0.00144982,671.71855321,525082.11193862
20170511,0.00144982,0.00184000,0.00125564,0.00149948,233.05518468,166249.32261485
20170512,0.00139504,0.00169720,0.00131110,0.00156972,806.00215819,544864.82875008
20170513,0.00150970,0.00169999,0.00131315,0.00169999,217.54023753,144090.19504289
20170514,0.00169982,0.00200000,0.00155212,0.00192991,433.56378674,244344.12058612
20170515,0.00194498,0.00200000,0.00153248,0.00164583,186.68973609,106118.72389728
20170516,0.00161004,0.00220001,0.00150000,0.00159999,1090.87946478,669118.09747583
20170517,0.00150011,0.00218500,0.00150011,0.00210000,656.88783878,348229.06545701
20170518,0.00196630,0.00240000,0.00170000,0.00238000,919.37358484,429204.77228306
20170519,0.00236800,0.00245000,0.00144380,0.00187799,524.52984432,269138.60843573
20170520,0.00187799,0.00197671,0.00145100,0.00176011,190.57767841,115940.62300751
20170521,0.00179908,0.00186849,0.00110000,0.00118621,647.19808911,490271.18760601
20170522,0.00119893,0.00163995,0.00090000,0.00140000,112.40410141,92184.94443255
20170523,0.00140000,0.00163974,0.00090002,0.00136164,164.92392978,123215.43405192
20170524,0.00119997,0.00119998,0.00080000,0.00092500,213.91682790,227319.04374931
20170525,0.00100781,0.00109208,0.00084000,0.00093885,255.29881592,270335.35422175
20170526,0.00093885,0.00119998,0.00091101,0.00091175,182.08441710,176569.28879213
20170527,0.00093602,0.00122497,0.00080022,0.00095050,170.94188797,168147.42444068
20170528,0.00095050,0.00108935,0.00086400,0.00086603,238.54648461,250817.34384820
20170529,0.00092993,0.00098000,0.00080022,0.00085001,107.30757595,123251.65397237
20170530,0.00087832,0.00098000,0.00080111,0.00084160,287.95175499,322162.36931798
20170531,0.00086644,0.00100000,0.00076045,0.00082396,290.43883867,338770.90565411
20170601,0.00081938,0.00087681,0.00075001,0.00085316,159.36706213,194728.51997481
20170602,0.00087681,0.00098000,0.00078149,0.00097471,117.12578414,125874.14281180
20170603,0.00097112,0.00097999,0.00080898,0.00081280,101.53588231,114544.54904866
20170604,0.00083512,0.00087988,0.00071250,0.00072788,205.99023766,269133.84838391
20170605,0.00078868,0.00084988,0.00071281,0.00080000,41.70904325,53636.99004237
20170606,0.00075012,0.00084956,0.00073913,0.00074056,106.33132164,134592.30080781
20170607,0.00074566,0.00084800,0.00071716,0.00084639,426.02097770,528216.93010745
20170608,0.00084639,0.00097000,0.00080844,0.00097000,571.00557844,654620.84542388
20170609,0.00097000,0.00130000,0.00097000,0.00110495,2013.30364110,1824536.20522163
20170610,0.00110495,0.00110495,0.00068820,0.00074500,170.52795276,191401.02859494
20170611,0.00073020,0.00089947,0.00064210,0.00085000,64.64424112,87882.11213764
20170612,0.00084976,0.00084976,0.00020000,0.00057061,92.06434238,180214.96118095
20170613,0.00058062,0.00070000,0.00052391,0.00060670,25.42902150,40498.40726212
20170614,0.00063498,0.00063500,0.00047890,0.00059995,133.52137992,219442.97057008
20170615,0.00060488,0.00070000,0.00057977,0.00062003,174.58380978,279189.86926426
20170616,0.00061231,0.00070000,0.00050000,0.00061000,226.02557973,372091.85539622
20170617,0.00061000,0.00066671,0.00059930,0.00062257,99.30901982,161900.83983019
20170618,0.00063926,0.00069999,0.00056000,0.00058261,133.75168254,216331.33087646
20170619,0.00058698,0.00068869,0.00055000,0.00058175,363.52427363,612180.53650035
20170620,0.00058175,0.00061000,0.00054800,0.00058261,121.00047373,210054.15627969
20170621,0.00057335,0.00068002,0.00055766,0.00058500,95.94790879,156958.72843778
20170622,0.00057938,0.00075000,0.00057938,0.00061548,129.52252077,193666.06455651
20170623,0.00064155,0.00065924,0.00059400,0.00063518,85.55498470,134995.23919117
20170624,0.00063325,0.00078000,0.00063325,0.00072418,281.63052230,393449.87113424
20170625,0.00071002,0.00074998,0.00065000,0.00069948,99.69537448,142094.85078686
20170626,0.00069947,0.00072460,0.00063908,0.00069000,85.47774372,125307.65553651
20170627,0.00070993,0.00078554,0.00067913,0.00072071,134.04411648,178709.36066413
20170628,0.00072071,0.00076550,0.00060000,0.00060000,82.17617843,118487.83385798
20170629,0.00064997,0.00070888,0.00060111,0.00060111,31.24068233,48708.86019336
20170630,0.00063999,0.00064214,0.00050000,0.00059100,198.73168773,371214.79533923
20170701,0.00063473,0.00064000,0.00055970,0.00063999,97.16523023,163497.03297983
20170702,0.00063999,0.00071000,0.00062500,0.00062500,119.87698775,180321.45709902
20170703,0.00062901,0.00073875,0.00060000,0.00060607,79.20598328,119632.44963955
20170704,0.00067630,0.00069099,0.00060300,0.00068927,54.84721061,85889.03018003
20170705,0.00068927,0.00073875,0.00067184,0.00069000,44.20576236,62349.32688818
