[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170628,0.00181000,0.00181000,0.00015001,0.00017511,4245.55322924,23246683.74577384
20170629,0.00017678,0.00020300,0.00016000,0.00017111,9069.96229937,49939523.06780902
20170630,0.00017301,0.00017729,0.00014300,0.00014800,3089.83808567,19371537.58865292
20170701,0.00014800,0.00017994,0.00014600,0.00015400,2624.99590766,16061094.51108261
20170702,0.00015500,0.00016498,0.00014199,0.00014550,1504.38451257,9910771.00126707
20170703,0.00014915,0.00019899,0.00014915,0.00019899,7053.57301481,38346584.92951422
20170704,0.00019899,0.00023449,0.00018790,0.00020937,4218.29940866,20450847.01778950
20170705,0.00020938,0.00021010,0.00018181,0.00018559,1336.13476706,6920849.94385394
20170706,0.00018559,0.00019860,0.00017350,0.00018432,1313.00276488,7110135.50824039
20170707,0.00018462,0.00018994,0.00017000,0.00018000,1591.87124536,8898907.82973913
20170708,0.00018000,0.00018000,0.00016350,0.00017287,910.87401391,5426486.48756955
20170709,0.00017000,0.00017970,0.00016201,0.00016201,546.75806676,3235363.67304344
20170710,0.00016500,0.00017280,0.00013888,0.00013888,1178.33935159,7796998.75103919
20170711,0.00013889,0.00014000,0.00012500,0.00012600,2200.24677039,17017087.19210663
20170712,0.00012713,0.00013800,0.00012600,0.00013549,1230.48378909,9460179.83181507
20170713,0.00013549,0.00013950,0.00013200,0.00013615,1454.80025417,10738176.46412165
20170714,0.00013450,0.00013697,0.00012750,0.00012750,1662.23782908,12563086.23245987
20170715,0.00012750,0.00013596,0.00012655,0.00013592,765.54735099,5989097.05919402
20170716,0.00013591,0.00015676,0.00013299,0.00014751,752.69992512,5191048.59926508
20170717,0.00014815,0.00016200,0.00013885,0.00014075,626.74712399,4238131.64913083
20170718,0.00013885,0.00014092,0.00012751,0.00012800,2149.12140495,16474611.24131147
20170719,0.00012800,0.00013721,0.00012221,0.00013152,1798.49122301,14157060.01749494
20170720,0.00013154,0.00013500,0.00012450,0.00012900,1285.21577361,10018342.10583535
20170721,0.00013013,0.00018199,0.00013001,0.00017300,2192.45845227,13549238.46927072
20170722,0.00017400,0.00036300,0.00017204,0.00036300,12611.01591077,47106142.76953423
20170723,0.00036500,0.00045000,0.00031100,0.00037875,19667.94396079,53017776.32881887
20170724,0.00037875,0.00038499,0.00031670,0.00034347,3535.01198586,10261515.84455280
20170725,0.00034340,0.00034400,0.00027000,0.00028200,3314.10508293,11249659.30804338
20170726,0.00028500,0.00030500,0.00026207,0.00028039,2167.42362517,7691885.51517268
20170727,0.00028002,0.00029885,0.00027880,0.00028850,920.03996697,3192324.77739019
20170728,0.00028850,0.00029089,0.00027000,0.00027500,957.38782046,3460568.15432402
20170729,0.00027500,0.00027880,0.00025008,0.00025807,851.54669148,3234372.20231137
20170730,0.00025945,0.00026500,0.00025123,0.00026207,171.15404661,668716.78784265
20170731,0.00026207,0.00028950,0.00025200,0.00026301,431.60892815,1601685.76582770
20170801,0.00026764,0.00026995,0.00024002,0.00025039,915.39185408,3640438.53625532
20170802,0.00024303,0.00026000,0.00024130,0.00024999,814.55439787,3281178.97695639
