[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170711,0.00110000,0.00490000,0.00110000,0.00270000,5.10415277,1757.07342435
20170712,0.00250068,0.00400000,0.00181126,0.00227000,572.37175843,222954.84641714
20170713,0.00233893,0.00240000,0.00211944,0.00225808,113.84049108,49467.63224926
20170714,0.00229700,0.00239956,0.00199998,0.00199998,65.67910888,29098.12341394
20170715,0.00199998,0.00219885,0.00185100,0.00208993,42.13519038,21581.06366802
20170716,0.00187547,0.00210470,0.00185000,0.00185000,36.86134396,19230.36945079
20170717,0.00185000,0.00230549,0.00168400,0.00230378,79.80881541,42993.84870189
20170718,0.00219880,0.00227973,0.00159009,0.00179932,29.74619428,17123.05853727
20170719,0.00179462,0.00201301,0.00165191,0.00184762,20.99450824,11535.61642073
20170720,0.00189616,0.00284988,0.00170000,0.00226858,131.27383450,55573.33148709
20170721,0.00223999,0.00263555,0.00207718,0.00217441,207.30004573,89184.87082717
20170722,0.00214502,0.00229894,0.00201111,0.00221504,76.55064276,34952.59285811
20170723,0.00228452,0.00228452,0.00204244,0.00218000,147.74006987,67040.39765630
20170724,0.00218999,0.00222410,0.00206040,0.00214994,30.52809041,14337.15735762
20170725,0.00210006,0.00222351,0.00191997,0.00197650,99.44591712,47055.34442280
20170726,0.00197650,0.00209085,0.00192000,0.00205776,31.86652739,16119.59357544
20170727,0.00205072,0.00212146,0.00188871,0.00193001,33.93437499,17039.40007791
20170728,0.00193254,0.00220016,0.00186300,0.00197465,65.78587571,32768.83683045
20170729,0.00197465,0.00203215,0.00180000,0.00190646,23.85939350,12491.41343633
20170730,0.00178696,0.00200960,0.00178696,0.00199999,28.46719981,15052.30941757
20170731,0.00191255,0.00198273,0.00175103,0.00187997,70.03165070,38093.38879529
20170801,0.00189265,0.00190995,0.00153500,0.00172000,78.89865849,45893.61535984
20170802,0.00170000,0.00203785,0.00163080,0.00190316,64.73144735,34794.99738633
