[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170623,0.08100000,0.09400000,0.00840004,0.09000000,2.98715674,33.92524075
20170624,0.09000000,0.09000000,0.07523924,0.08996847,9.83806874,118.18188750
20170625,0.08995968,0.08996147,0.07500000,0.07516492,44.17033476,566.15814442
20170626,0.07500000,0.08599990,0.07016369,0.07266122,32.41361958,398.68587461
20170627,0.07266101,0.08541796,0.07111000,0.07111000,20.57004868,280.67735952
20170628,0.07111000,0.07300031,0.06311000,0.06600000,1.94779526,28.74764766
20170629,0.06399023,0.08599776,0.06112000,0.07395476,102.07663279,1382.95144982
20170630,0.07397220,0.08464504,0.06120454,0.07088338,14.23317402,184.57027737
20170701,0.07088047,0.07500008,0.06730294,0.06740256,7.91531900,105.67161717
20170702,0.06756409,0.07650004,0.06756409,0.07650000,6.45476597,84.83537565
20170703,0.07649977,0.08413797,0.07649977,0.08413797,2.87927082,37.63665540
20170704,0.08397660,0.09388984,0.07400682,0.09388984,11.61965266,137.05352326
20170705,0.08000000,0.09085101,0.08000000,0.08498073,10.99478716,134.98215565
20170706,0.08000441,0.08220000,0.08000110,0.08220000,1.85278183,22.94796784
20170707,0.07772736,0.07823401,0.07745100,0.07745100,8.27587669,105.79949598
20170708,0.07745100,0.08468449,0.07745100,0.07800002,2.42748755,29.68118686
20170709,0.07850000,0.08405483,0.07745100,0.08390568,2.62129683,33.35466411
20170710,0.08361992,0.08361992,0.07000065,0.07511212,6.01746928,81.49371842
20170711,0.06861172,0.07999988,0.06861067,0.07500014,5.54431999,79.43136514
20170712,0.07520578,0.08080410,0.05825507,0.07799941,46.35616379,632.48110771
20170713,0.07793235,0.07899990,0.07022941,0.07334509,16.89680405,224.71156760
20170714,0.07327278,0.07999987,0.07300000,0.07300283,5.05133637,66.52146310
20170715,0.07313001,1.20000000,0.06640113,0.07370201,331.20811608,1454.05534992
20170716,0.07996844,0.09989926,0.07425105,0.07425105,21.89345504,254.82336237
20170717,0.07438817,0.08736224,0.07410112,0.08251071,1.45184000,18.17152582
20170718,0.07488699,0.08189183,0.01230033,0.05945466,731.47987728,14731.98472510
20170719,0.06679835,0.07374332,0.05713053,0.06662887,4.91584679,73.02390735
20170720,0.07045619,0.07499999,0.06500438,0.07499998,2.47407506,33.66124806
20170721,0.07347571,0.07499998,0.07347571,0.07499998,4.09772078,54.82684660
20170722,0.07499998,0.07499998,0.07499998,0.07499998,11.45425353,152.72342463
20170723,0.07499999,0.07619824,0.06900000,0.06900000,10.79149139,155.59856252
20170724,0.07260000,0.07600000,0.07260000,0.07600000,1.40087056,19.06538220
20170725,0.07599999,0.07899989,0.05880996,0.07085929,10.88028882,145.84300383
20170726,0.07208887,0.07495735,0.06805264,0.07495528,8.26850336,111.48677118
20170727,0.07500000,0.07898257,0.07102468,0.07898257,2.22732670,29.55189189
20170728,0.07897560,0.07900000,0.06500003,0.07504268,18.94942612,260.54715521
20170729,0.07878150,0.07878150,0.07781836,0.07781836,6.90127927,88.64432403
20170730,0.06803146,0.07790000,0.06802868,0.07790000,6.54263873,85.89194595
20170731,0.07789995,0.08000000,0.06998948,0.08000000,0.40026518,5.31717648
20170801,0.07999942,0.07999945,0.06969797,0.06972660,3.78585739,48.29307592
20170802,0.06972660,0.07897408,0.06700032,0.07000008,6.28459840,83.85447933
