[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170509,0.00550001,0.02899990,0.00550001,0.01349900,73.80233921,6627.40028070
20170510,0.01250000,0.01250000,0.00110000,0.01075000,234.14308212,24251.83466412
20170511,0.01049990,0.01135000,0.00650000,0.01018800,528.80084458,52366.45735839
20170512,0.01011100,0.01022656,0.00850000,0.01012000,909.00959192,90947.22091247
20170513,0.00982000,0.01079990,0.00910130,0.01079850,259.44209071,24915.12800198
20170514,0.01070050,0.01079960,0.00900000,0.00900000,471.28489131,45307.95055825
20170515,0.00921000,0.00990699,0.00600000,0.00821584,198.50071513,22065.82588584
20170516,0.00800000,0.00980000,0.00699999,0.00710634,163.39745095,19404.08032277
20170517,0.00799333,0.00870002,0.00712174,0.00819999,57.93127492,6962.72051808
20170518,0.00742178,0.00969992,0.00742174,0.00850000,59.55141428,6938.23119476
20170519,0.00900000,0.00947998,0.00523000,0.00523200,84.36007471,10924.49588404
20170520,0.00523204,0.00719978,0.00523204,0.00700000,25.90516984,3730.02521802
20170521,0.00700000,0.00714889,0.00523204,0.00523206,115.36814399,18639.17338985
20170522,0.00523208,0.00689952,0.00362000,0.00485000,2137.37231782,367504.61133056
20170523,0.00608994,0.00714889,0.00485007,0.00600000,200.44025249,34075.92480660
20170524,0.00619997,0.00714889,0.00475000,0.00590007,1477.78653914,292770.45050540
20170525,0.00600000,0.00635890,0.00529899,0.00580000,1287.54570042,241247.61284974
20170526,0.00580000,0.00599988,0.00529899,0.00599000,47.16199007,7947.21013073
20170527,0.00599000,0.00646500,0.00540041,0.00620050,488.88534074,78836.92540293
20170528,0.00620050,0.00646500,0.00540050,0.00604998,174.29792316,28121.88446121
20170529,0.00604596,0.00604597,0.00475000,0.00500000,1771.07738585,331916.77046785
20170530,0.00475009,0.00500000,0.00350000,0.00350000,96.02119480,21457.79401853
20170531,0.00358913,0.00425546,0.00350000,0.00360000,43.31810052,11881.78550751
20170601,0.00389998,0.00419816,0.00361000,0.00409997,26.44392394,6627.00848018
20170602,0.00381046,0.00409380,0.00348250,0.00370568,45.46175099,11936.24986216
20170603,0.00370516,0.00489990,0.00346500,0.00489066,1447.99527930,313858.27130703
20170604,0.00489066,0.00509328,0.00450041,0.00480041,1064.39244265,221540.67456273
20170605,0.00479925,0.00494997,0.00430012,0.00460000,166.66037326,36863.07638972
20170606,0.00480521,0.00499997,0.00440000,0.00460676,59.83632911,12756.75879649
20170607,0.00460676,0.00499953,0.00410041,0.00410042,385.53825132,93130.45864809
20170608,0.00410042,0.00428999,0.00380041,0.00399917,247.97226054,61856.67756812
20170609,0.00380117,0.00390166,0.00330000,0.00335132,610.63018646,164296.64649582
20170610,0.00344000,0.00353000,0.00240000,0.00279884,170.37319861,54715.75282054
20170611,0.00279911,0.00279938,0.00252000,0.00279911,50.05010467,18530.85252473
20170612,0.00256560,0.00413061,0.00237560,0.00300000,692.74306069,206030.18909535
20170613,0.00300000,0.00300000,0.00230509,0.00275318,89.69573894,35826.08562700
20170614,0.00275318,0.00275320,0.00229321,0.00254026,67.84963142,26781.37583027
20170615,0.00269870,0.00275281,0.00254000,0.00254027,108.73709220,42595.62763343
20170616,0.00254054,0.00272073,0.00254000,0.00270717,78.78822289,30432.38192341
20170617,0.00270716,0.00280000,0.00254000,0.00258558,74.82399339,27350.57653799
20170618,0.00270000,0.00277000,0.00254000,0.00272402,132.44825485,49476.94214879
20170619,0.00272404,0.00324990,0.00254000,0.00300000,708.15202857,241891.21288702
20170620,0.00300006,0.00315386,0.00300000,0.00300003,168.62516574,55441.38772354
20170621,0.00300001,0.00410364,0.00300000,0.00380000,785.57164966,222102.79430127
20170622,0.00386976,0.00438988,0.00370000,0.00405000,683.44132708,167332.42325011
20170623,0.00405000,0.00420000,0.00370000,0.00391000,545.96573450,139398.72904522
20170624,0.00391000,0.00402000,0.00360000,0.00362500,231.90048099,61546.05537270
20170625,0.00369996,0.00389897,0.00340000,0.00340000,149.27034663,42394.33960034
20170626,0.00340000,0.00364650,0.00320000,0.00359916,123.39907447,36496.97794841
20170627,0.00358920,0.00370000,0.00320015,0.00330018,97.13648293,27643.79792141
20170628,0.00330010,0.00354844,0.00310001,0.00320100,98.38882508,30347.78985460
20170629,0.00336404,0.00357651,0.00320101,0.00320101,28.43189002,8443.47745496
20170630,0.00347605,0.00424385,0.00347604,0.00361409,225.96684492,55710.18659943
20170701,0.00392764,0.00424385,0.00365004,0.00400863,377.29795606,91319.99837377
20170702,0.00372908,0.00392715,0.00359101,0.00362000,99.44760736,27006.92315784
20170703,0.00374712,0.00374712,0.00326000,0.00371078,198.96379680,55270.86984182
20170704,0.00350660,0.00367933,0.00328194,0.00347511,17.64049669,4962.46329689
20170705,0.00365958,0.00373624,0.00350000,0.00350271,11.44281155,3187.31248603
20170706,0.00367371,0.00367871,0.00270090,0.00317642,625.01872867,212256.83994757
20170707,0.00309000,0.00319118,0.00280000,0.00305000,255.69144195,89782.82184457
20170708,0.00303999,0.00305000,0.00280000,0.00304998,124.46027034,43780.66891444
20170709,0.00298000,0.00311980,0.00287070,0.00305000,29.29053766,9656.68772327
20170710,0.00295236,0.00304959,0.00264001,0.00275100,180.36512817,63691.90107570
20170711,0.00275101,0.00310010,0.00264000,0.00286501,467.90920395,159251.75944384
20170712,0.00290000,0.00302014,0.00276041,0.00302014,31.88397559,11095.15000153
20170713,0.00299337,0.00315000,0.00278054,0.00304676,29.72706876,10049.64600421
20170714,0.00287164,0.00301248,0.00273100,0.00289093,64.68438477,22576.11555235
20170715,0.00284990,0.00350010,0.00270022,0.00316143,200.55751761,62958.43769637
20170716,0.00323430,0.00350000,0.00292508,0.00319939,91.75456675,26962.35648889
20170717,0.00321703,0.00333082,0.00302771,0.00302777,8.89015810,2828.44789317
20170718,0.00306273,0.00350000,0.00284503,0.00319504,202.76994709,61865.90614199
20170719,0.00287615,0.00350000,0.00287615,0.00349919,237.38712137,69677.59982262
20170720,0.00349913,0.00350000,0.00320779,0.00349995,154.03028137,44172.63569508
