[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170519,0.00070201,0.00100000,0.00070201,0.00100000,0.00260201,3.00000000
20170520,0.00130000,0.00799995,0.00100533,0.00120638,17.28142825,11992.19871282
20170521,0.00319900,0.00319900,0.00103526,0.00103526,24.55583033,16191.78491285
20170522,0.00148887,0.00148888,0.00099998,0.00100005,27.29780761,23456.24703348
20170523,0.00144197,0.00300000,0.00134190,0.00134234,23.79599204,15148.67778115
20170524,0.00220000,0.00299991,0.00145002,0.00148305,56.60596525,30137.19897566
20170525,0.00239678,0.00239678,0.00120002,0.00120101,77.10868375,48559.29006753
20170526,0.00162094,0.00197752,0.00129955,0.00141989,42.44609744,26293.62067057
20170527,0.00149999,0.00166607,0.00121001,0.00166361,59.09160891,43835.35383766
20170528,0.00128800,0.00166303,0.00120101,0.00120101,9.69348179,7817.22761397
20170529,0.00120104,0.00144317,0.00106000,0.00106000,287.86784003,230560.43459133
20170530,0.00107000,0.00127238,0.00084586,0.00084586,23.71177084,22193.24315234
20170531,0.00080122,0.00137997,0.00080108,0.00137997,18.49655854,17659.49107273
20170601,0.00117075,0.00117696,0.00080335,0.00117485,187.12182605,185360.78989269
20170602,0.00092313,0.00136991,0.00092313,0.00130945,417.29092070,361638.46197510
20170603,0.00130945,0.00166363,0.00122169,0.00135898,215.64890513,162467.85986198
20170604,0.00145300,0.00145300,0.00115128,0.00125240,24.59006339,19345.84058154
20170605,0.00125139,0.00185128,0.00116058,0.00185128,199.69213809,136860.73781973
20170606,0.00185128,0.00197753,0.00115129,0.00197753,486.62721788,271308.77226153
20170607,0.00187000,0.00217200,0.00168367,0.00170002,186.15231963,100368.40502368
20170608,0.00177000,0.00190622,0.00160000,0.00170000,90.43011327,52338.55362155
20170609,0.00179652,0.00180981,0.00129505,0.00132100,3379.44715592,2184874.70181050
20170610,0.00144444,0.00180794,0.00104000,0.00104000,100.80926113,75904.67895425
20170611,0.00121314,0.00122738,0.00100002,0.00112000,47.52943954,42274.80513233
20170612,0.00118633,0.00118999,0.00084110,0.00088300,43.06672063,46188.76036312
20170613,0.00084640,0.00110000,0.00083115,0.00091000,48.75170652,52282.87367942
20170614,0.00107880,0.00107880,0.00083361,0.00087999,29.15242960,32163.90316555
20170615,0.00093768,0.00106000,0.00087007,0.00091577,79.12185249,83975.71289687
20170616,0.00091576,0.00104593,0.00083501,0.00094322,41.69168696,43074.78176415
20170617,0.00099101,0.00103898,0.00087115,0.00098886,46.30519049,49896.50377830
20170618,0.00090491,0.00098593,0.00083500,0.00087854,34.36777016,39879.09709108
20170619,0.00089013,0.00097896,0.00074610,0.00084372,44.36885815,53264.19698235
20170620,0.00074637,0.00091896,0.00070000,0.00091896,52.25995351,64076.36749020
20170621,0.00091897,0.00114902,0.00076958,0.00100342,58.22087493,57920.32650475
