[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170427,0.00990000,0.00990000,0.00990000,0.00990000,0.00990000,1.00000000
20170428,0.00150000,0.00299999,0.00150000,0.00299999,3.86375647,1313.62622017
20170429,0.00152000,0.00299806,0.00152000,0.00152000,6.49917995,2243.22500068
20170430,0.00257990,0.00257990,0.00110000,0.00110001,28.70517827,18903.57536051
20170501,0.00169999,0.00169999,0.00150000,0.00166498,122.98621195,74907.09139970
20170502,0.00151000,0.00215500,0.00140001,0.00201011,29.02749095,17779.17084290
20170503,0.00201010,0.00201011,0.00149002,0.00199587,20.64390389,10888.90551816
20170504,0.00180000,0.00240001,0.00149103,0.00240000,13.68604955,6035.43313511
20170505,0.00240000,0.00263999,0.00190001,0.00262000,74.84033286,29671.72571510
20170506,0.00262000,0.00329999,0.00200002,0.00329996,184.82784807,69013.99630981
20170507,0.00319995,0.00319996,0.00230002,0.00309979,79.41548512,29633.95800014
20170508,0.00230056,0.00277776,0.00225000,0.00225000,17.04396906,6952.11627509
20170509,0.00230000,0.00275210,0.00210000,0.00275000,70.40408132,31617.03690634
20170510,0.00274499,0.00274499,0.00205068,0.00265980,22.54216510,10222.12390411
20170511,0.00250000,0.00265959,0.00205073,0.00215001,13.62338706,5638.74477943
20170512,0.00265929,0.00265929,0.00225290,0.00265900,2.38455499,914.97771944
20170513,0.00265900,0.00265900,0.00232000,0.00232000,35.77236742,14047.56606656
20170514,0.00235200,0.00253464,0.00235000,0.00246516,66.76961982,27112.19319089
20170515,0.00253464,0.00309980,0.00235012,0.00294411,32.80045922,12275.64085061
20170516,0.00294410,0.00294410,0.00225000,0.00225000,69.53336957,28826.22077689
20170517,0.00225000,0.00280781,0.00215000,0.00236440,16.61225954,7103.46852848
20170518,0.00240997,0.00266421,0.00205000,0.00210000,197.24132887,83862.04977962
20170519,0.00225000,0.00225900,0.00165000,0.00165000,36.23699703,19532.76704105
20170520,0.00199599,0.00199599,0.00169039,0.00169039,0.73897973,390.87388055
20170521,0.00169100,0.00199598,0.00145009,0.00145009,5.56608895,3570.43223239
20170522,0.00145009,0.00189994,0.00110777,0.00179996,53.09013448,43545.54818388
20170523,0.00189994,0.00189999,0.00147005,0.00171200,48.81456572,26421.95341734
20170524,0.00189496,0.00189500,0.00135002,0.00166320,36.61459984,21313.99033182
20170525,0.00166320,0.00166320,0.00140000,0.00140000,3.63493332,2190.11794075
20170526,0.00189069,0.00189080,0.00140001,0.00155014,19.35370576,11760.90515284
20170527,0.00155015,0.00189065,0.00140000,0.00188998,24.82527384,15636.38248220
20170528,0.00188992,0.00188994,0.00145621,0.00150000,4.02883639,2289.31838730
20170529,0.00188972,0.00188972,0.00138000,0.00138000,6.37227569,4105.26091929
20170530,0.00138301,0.00179951,0.00125000,0.00125000,486.26600849,310416.27509794
20170531,0.00125000,0.00150000,0.00115500,0.00135000,19.49399511,15486.29275564
20170601,0.00135000,0.00270000,0.00116003,0.00210000,117.88022148,59747.57134711
20170602,0.00210000,0.00294342,0.00151004,0.00250000,92.91470548,41483.34992950
20170603,0.00200229,0.00294342,0.00200229,0.00274324,168.05967077,62022.75776213
20170604,0.00274324,0.00274324,0.00200000,0.00245000,84.09789134,34545.72980115
20170605,0.00245000,0.00294324,0.00211233,0.00277206,105.81405335,38129.31832862
20170606,0.00277000,0.00377999,0.00253003,0.00330003,312.01072038,99748.17287372
20170607,0.00341993,0.00500000,0.00321102,0.00321102,560.66817181,145457.72635822
20170608,0.00322196,0.00412487,0.00300000,0.00325000,374.62079821,107009.28997187
20170609,0.00325000,0.00340000,0.00299921,0.00300012,159.04179572,50424.34938032
20170610,0.00310012,0.00313216,0.00225000,0.00225000,88.80373752,33900.10325215
20170611,0.00211232,0.00279588,0.00139484,0.00209955,96.40833537,47676.35867086
20170612,0.00202602,0.00220000,0.00154251,0.00154251,102.56265249,57802.91473218
20170613,0.00150002,0.00220000,0.00145000,0.00184527,51.10044554,28095.33154859
20170614,0.00184545,0.00211978,0.00169100,0.00185005,70.12993928,35821.05485811
20170615,0.00185008,0.00205674,0.00169280,0.00188512,55.14161555,29821.71320061
20170616,0.00188798,0.00210000,0.00175407,0.00176691,77.15070530,40610.84981532
20170617,0.00175405,0.00208944,0.00170003,0.00172202,48.85134704,26905.91965400
20170618,0.00186962,0.00186973,0.00160050,0.00161846,36.33332416,21118.58648716
20170619,0.00172499,0.00184800,0.00162870,0.00184796,40.94967765,23167.85366456
20170620,0.00184792,0.00184796,0.00166364,0.00174943,70.05795214,40424.61143809
20170621,0.00166772,0.00188906,0.00166362,0.00170000,48.67910847,26607.43246373
20170622,0.00176392,0.00199999,0.00155000,0.00170003,109.44299524,63022.09436327
20170623,0.00170007,0.00197946,0.00170000,0.00176367,92.88497227,52578.02670736
20170624,0.00175727,0.00195778,0.00173211,0.00179659,102.62358800,57951.01904945
20170625,0.00179660,0.00200000,0.00170068,0.00200000,122.48138624,66828.90388374
20170626,0.00199999,0.00200000,0.00160732,0.00167708,159.61771620,88682.86018154
20170627,0.00170072,0.00183480,0.00159088,0.00170000,96.20367004,56376.08278937
20170628,0.00159378,0.00181996,0.00159378,0.00167842,49.80259600,29238.19443158
20170629,0.00159757,0.00168000,0.00150000,0.00152618,52.75973040,33133.77762526
20170630,0.00152713,0.00170000,0.00139896,0.00162650,55.10425803,36129.55177537
20170701,0.00162671,0.00164273,0.00143033,0.00146022,47.90569099,31642.18315770
20170702,0.00155000,0.00158811,0.00130042,0.00131126,26.85805897,18090.81111567
