[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170721,0.00012000,0.00865590,0.00012000,0.00065000,71.06230308,117525.32785868
20170722,0.00066956,0.00076949,0.00065000,0.00076711,65.14230394,92625.42638365
20170723,0.00076708,0.00084996,0.00068504,0.00074209,120.89522613,158147.96464251
20170724,0.00075277,0.00079433,0.00070440,0.00075426,101.36212780,135418.65492599
20170725,0.00075426,0.00082900,0.00073000,0.00077700,115.98800239,150569.89100497
20170726,0.00077700,0.00079379,0.00075000,0.00077929,36.50707254,47148.82686317
20170727,0.00075857,0.00089048,0.00075857,0.00083250,95.91350057,116253.88006342
20170728,0.00085100,0.00087227,0.00082425,0.00086546,92.88057498,110015.92239809
20170729,0.00084744,0.00091477,0.00081501,0.00085084,94.80483130,108866.73660837
20170730,0.00082425,0.00086307,0.00081700,0.00083500,43.35588464,51658.62457984
20170731,0.00083500,0.00086546,0.00081701,0.00081708,118.52784569,141182.65722809
20170801,0.00081703,0.00082972,0.00076243,0.00079182,188.49027069,235256.50736188
20170802,0.00081400,0.00102120,0.00079737,0.00100970,267.33521120,281088.38651131
