[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170721,0.00900000,0.00900000,0.00003900,0.00008700,209.60356771,1729566.85260210
20170722,0.00008874,0.00011110,0.00008523,0.00010017,50.35215326,534783.05773413
20170723,0.00009960,0.00010224,0.00009008,0.00009748,50.53490210,516681.44696970
20170724,0.00009708,0.00010569,0.00009508,0.00009924,10.33688351,106102.10645497
20170725,0.00010194,0.00010200,0.00008767,0.00009230,19.38477629,206285.12950888
20170726,0.00009322,0.00009528,0.00008882,0.00009300,1.16981963,12707.68807684
20170727,0.00009353,0.00009447,0.00004501,0.00008969,414.21213546,5691008.29143623
20170728,0.00008969,0.00009298,0.00007508,0.00008962,21.85770009,245592.87874833
20170729,0.00008988,0.00008994,0.00008171,0.00008419,17.15987214,200034.94494692
20170730,0.00008459,0.00008639,0.00008028,0.00008345,16.38090414,199908.76882459
20170731,0.00008111,0.00008303,0.00007941,0.00008082,15.10361502,185890.12416392
20170801,0.00008082,0.00008460,0.00007435,0.00007861,34.34957733,430448.98718965
20170802,0.00007912,0.00008892,0.00007728,0.00008456,23.28774528,272573.06411354
