[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170721,0.99000000,1.10009994,0.05102000,0.18518759,360.84548598,1389.64595897
20170722,0.18518759,0.19897132,0.18000005,0.18559394,76.26811787,412.42177985
20170723,0.19799787,0.19799787,0.18600001,0.18600008,55.59923999,289.50400825
20170724,0.19797171,0.20999982,0.18600008,0.20989147,41.50346254,210.96630413
20170725,0.20989086,0.20989297,0.18722906,0.20000000,54.76472393,274.82893587
20170726,0.20000000,0.23683659,0.19495363,0.23360663,138.90726982,632.57896630
20170727,0.22844152,0.23683659,0.21000044,0.22799638,103.63142303,451.56134751
20170728,0.22796879,0.23199420,0.21700000,0.23199415,27.90366005,123.07371796
20170729,0.23199415,0.23683659,0.21420001,0.21898022,77.14442131,340.70172953
20170730,0.21883570,0.22999890,0.20120014,0.20500000,94.71923132,445.31250450
20170731,0.20500000,0.21500000,0.20101001,0.20121001,210.53025158,1023.82288560
20170801,0.20121001,0.20854964,0.18600014,0.20000001,159.02885420,803.24292553
20170802,0.19100000,0.20859540,0.19100000,0.20504697,54.67980297,270.89643882
