[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20151212,420.00000000,420.00000000,420.00000000,420.00000000,0.12759600,0.00030380
20151215,420.00000000,450.00000000,420.00000000,450.00000000,180.08857957,0.40151340
20151216,450.00000000,470.00000000,450.00000000,451.00000000,34.13613830,0.07426694
20151218,459.00000000,459.00000000,459.00000000,459.00000000,0.00542079,0.00001181
20151219,451.00000000,451.00000000,451.00000000,451.00000000,4.60207616,0.01020416
20151220,450.00000000,450.00000000,450.00000000,450.00000000,6.26365350,0.01391923
20151226,440.00000000,440.00000000,430.00000000,430.00000000,1.93691910,0.00449911
20151229,400.00000000,424.04466000,325.61109999,424.04466000,104.23604789,0.27524429
20151230,424.87082140,430.71088659,424.87082140,429.09812000,27.75137072,0.06513359
20160101,430.23493666,430.23493666,430.23493666,430.23493666,1.34630407,0.00312923
20160102,407.47751500,407.47751500,407.47751500,407.47751500,0.02656345,0.00006519
20160104,429.90785225,429.90785225,415.50942612,429.90785225,118.25625660,0.27508208
20160105,404.71060653,411.94425000,404.71060653,411.94425000,4.72932483,0.01158113
20160107,444.40000000,445.00000000,435.49950000,435.49950000,18.67792149,0.04204511
20160109,448.50000000,448.50000000,448.50000000,448.50000000,106.44332575,0.23733183
20160110,449.36255899,449.36255899,441.51532134,442.97002703,68.34277377,0.15406953
20160111,446.85793704,450.69208889,446.80488834,446.80488834,3.78072768,0.00845270
20160112,441.96593060,442.85963802,441.89000000,441.89000000,471.15210133,1.06598486
20160113,433.85540000,436.92328928,400.53000000,436.92328928,810.67221714,1.93084495
20160114,432.65506369,432.65506369,428.53476603,428.53476603,91.93932775,0.21440495
20160115,426.65706617,428.13915154,362.93148389,374.04594286,1383.87098196,3.49935265
20160116,363.78973887,397.58603462,360.48471263,397.58603462,1419.59995711,3.82263069
20160117,360.00000000,365.00000000,360.00000000,365.00000000,0.34500000,0.00095000
20160118,370.00000000,393.00000000,370.00000000,393.00000000,11.91518470,0.03089718
20160119,387.00000000,387.00000000,383.00000000,383.00000000,0.49875140,0.00130220
20160120,393.00000000,448.00000000,393.00000000,448.00000000,9.92623738,0.02464393
20160121,447.99999999,447.99999999,365.00000000,403.87658977,144.58219034,0.33566563
20160124,403.87658977,403.87658977,403.87658977,403.87658977,20.23586090,0.05010407
20160127,400.88485844,401.66695186,398.49848820,398.49848820,106.71798700,0.26695585
20160128,388.73555797,388.73555797,367.98368492,376.46431540,83.03273022,0.22133267
20160129,375.00000000,388.47343667,372.16582968,372.16582968,10.59631596,0.02739073
20160130,381.50000000,381.50000000,381.50000000,381.50000000,0.21769916,0.00057064
20160131,371.00000000,371.00000000,371.00000000,371.00000000,0.98660401,0.00265931
20160201,375.83446255,375.83446255,372.32981973,372.32981973,0.04187647,0.00011195
20160203,368.58000000,372.65606130,368.58000000,368.58000000,12.24960321,0.03323398
20160204,364.00000001,387.05088515,360.49846112,387.05088515,375.26644079,1.00477206
20160205,379.43432859,395.00000000,378.72367642,383.26340553,285.77535556,0.73695751
20160206,370.56441010,379.49038100,370.56441010,379.49038100,62.07685197,0.16595331
20160207,374.73015411,374.73015411,374.73015411,374.73015411,4.27989424,0.01142127
20160208,374.73015411,376.00000000,366.99999970,376.00000000,174.44606543,0.46827011
20160209,367.00000000,377.99935900,367.00000000,377.99000000,124.70948380,0.33078789
20160210,377.99000000,384.99999999,368.96000000,384.99999999,365.58314337,0.96913394
20160211,370.80000001,384.95000000,369.78000001,384.95000000,70.70306770,0.18383951
20160212,372.90000122,443.00000000,360.09999990,441.99999999,453.03379455,1.15024971
20160213,403.99999998,403.99999999,403.99999998,403.99999999,0.07039294,0.00017424
20160214,381.00000000,381.00000000,381.00000000,381.00000000,11.43000000,0.03000000
20160215,387.00000002,387.00000002,387.00000000,387.00000000,1.54312767,0.00398741
20160216,409.99999999,410.00000000,409.99999999,410.00000000,0.04301309,0.00010491
20160217,410.00000000,421.99900000,388.01300000,421.99900000,77.43771864,0.19191064
20160218,421.99900000,437.50000000,403.50100000,437.50000000,21.29968065,0.05036800
20160219,410.00000000,437.49999900,399.58400000,437.49999900,97.26169623,0.22821497
20160220,436.99700000,436.99700000,435.00000000,436.84606000,7.83858694,0.01796038
20160221,436.99700000,443.00000000,436.99700000,442.97700000,118.18417902,0.26747246
20160222,442.97700000,443.00000000,442.97700000,443.00000000,129.17407322,0.29159424
20160223,416.65700000,440.00000000,415.00000000,415.00000000,13.22484247,0.03099713
20160224,430.00000000,430.00000000,415.00000000,415.00000000,71.40734972,0.16886676
20160225,404.92900000,405.00800000,396.30000000,397.30400000,165.72302719,0.41439507
20160226,400.00000000,427.50000000,400.00000000,427.50000000,238.47695378,0.56006372
20160227,427.50000000,434.41100000,411.00000000,411.00000000,28.61958812,0.06687397
20160229,434.40000000,443.41100000,427.50000000,443.00000000,508.34945861,1.16134282
20160301,428.00000000,433.51000000,428.00000000,433.20000000,69.46786557,0.16139396
20160302,433.20000000,442.50000000,428.13400000,442.50000000,341.44975315,0.77648428
20160303,425.00000000,430.00000000,406.00000000,406.00000000,200.69306684,0.47309050
20160304,406.00000000,428.00000000,405.55666000,405.55700000,1103.76146551,2.70999420
20160305,388.88888888,388.88888888,382.69000000,382.69000000,577.11001656,1.50320872
20160306,405.00000000,427.90000000,398.00000000,409.75000000,311.19821937,0.74540934
20160307,405.00000000,410.00000000,405.00000000,410.00000000,26.25128945,0.06435845
20160308,409.00000000,427.00000000,409.00000000,409.00000000,40.85109619,0.09985189
20160309,397.00000000,412.50000000,397.00000000,412.50000000,2.26442877,0.00549341
20160310,412.43327523,427.99900000,397.00000000,397.00000000,1019.70487680,2.38566164
20160311,397.02000000,420.22000000,397.00000000,420.22000000,79.03643161,0.19355337
20160312,414.81000000,414.81000000,397.09999000,397.09999000,38.44152087,0.09267351
20160313,415.46000000,415.46000000,397.09999000,397.10000000,177.34879533,0.43770235
20160314,415.46000000,418.12000000,415.46000000,418.12000000,31.32132603,0.07527722
20160315,418.12000000,418.12000000,411.87000000,411.87000000,8.91839880,0.02149000
20160316,411.87000000,411.87000000,411.87000000,411.87000000,3.75252697,0.00911095
20160317,418.70000000,420.22000000,418.70000000,420.22000000,73.55534321,0.17535233
20160318,427.88800000,427.88800000,410.39000000,410.39000000,52.11537497,0.12613231
20160321,406.17000000,406.17000000,406.17000000,406.17000000,7.95024972,0.01957370
20160322,406.17000000,414.37000000,406.17000000,414.37000000,42.32325836,0.10220784
20160323,418.00000000,421.27000000,418.00000000,421.27000000,16.94139954,0.04046642
20160324,412.99000000,412.99000000,412.99000000,412.99000000,25.16262580,0.06092793
20160325,412.92000000,427.88800000,412.23100000,412.23100000,147.08264216,0.35594972
20160327,412.23100000,427.88799999,412.23100000,427.88799999,100.81273119,0.24311741
20160328,419.26110000,427.88799999,419.26110000,419.26110000,5.12700849,0.01211424
20160329,419.26200000,419.26200000,419.26110000,419.26110000,38.55218739,0.09195266
20160330,417.50168250,417.57800000,414.97500000,417.57800000,146.29313556,0.35241137
20160331,417.61041875,417.75961499,412.87523240,412.87523240,25.89393526,0.06199578
20160402,417.75961496,420.77894250,417.75961496,418.00000000,147.02519367,0.35147917
20160403,418.00000000,418.00000000,418.00000000,418.00000000,14.02280902,0.03354739
20160404,418.00000000,418.00000000,418.00000000,418.00000000,0.69388000,0.00166000
20160405,420.78652875,421.20630125,420.78652875,421.20630125,77.67217590,0.18441620
20160406,421.21388750,424.01600000,421.21388750,423.57500000,41.54243607,0.09808166
20160408,421.20630125,424.03951276,421.20630125,421.20630125,21.87921187,0.05187504
20160409,420.20600000,420.20600000,416.78743422,416.78743422,1012.63286332,2.42281573
20160410,416.08039862,416.08039862,416.08039862,416.08039862,0.04160803,0.00010000
20160412,424.44468356,427.36714532,424.44468356,427.36714532,92.63284154,0.21740952
20160413,427.88799999,428.40300000,421.34286059,421.34286059,135.00647952,0.31860589
20160414,421.29010005,429.21600000,421.29010005,429.21600000,78.11781754,0.18200120
20160415,428.61600000,435.00000000,415.61100000,430.00000000,538.83458763,1.26183667
20160416,430.64800000,430.64800000,430.64800000,430.64800000,1.20717092,0.00280315
20160417,430.99999000,430.99999000,430.99999000,430.99999000,256.21109466,0.59445731
20160418,428.32387061,428.32387061,425.56728445,425.56728445,17.86259690,0.04178464
20160419,425.56728445,434.54777000,425.56728445,434.54777000,345.02599420,0.79502208
20160420,434.54777000,442.50000000,425.35500000,442.50000000,521.56179586,1.19135739
20160421,453.27571000,453.27571000,425.35500000,425.35500000,36.44728015,0.08049665
20160422,443.87512710,443.87512710,443.87500000,443.87500000,101.57389825,0.22883445
20160423,444.87500000,469.00000000,443.65000000,469.00000000,8.05081348,0.01767983
20160424,469.00000000,469.00000000,443.65000000,443.65000000,17.49437847,0.03935318
20160425,443.65000000,470.00000000,443.65000000,470.00000000,84.60176672,0.18037338
20160426,470.00000000,487.31900000,470.00000000,487.31900000,43.12709350,0.08870441
20160427,470.00100000,470.00100000,445.00000000,445.00000000,23.04337802,0.05131826
20160428,445.00000000,461.23100000,432.00000000,461.23100000,371.90401504,0.83788906
20160430,447.50000000,460.00000000,440.00000000,440.00000000,148.11638724,0.33324896
20160501,441.00000000,441.00000000,441.00000000,441.00000000,0.41895000,0.00095000
20160502,440.00000000,440.00000000,432.00000000,432.00000000,24.41000512,0.05557430
20160503,428.00000000,428.00000000,425.35000000,425.35000001,55.55096796,0.13054436
20160504,425.35000001,457.00000000,425.35000001,428.35000000,50.78848132,0.11384625
20160506,455.00000000,459.00000000,424.31600000,424.31600000,293.42955672,0.65566730
20160507,469.23100000,469.23100000,469.23100000,469.23100000,109.67627555,0.23373621
20160508,468.72300000,468.72300000,468.72300000,468.72300000,13.96500181,0.02979372
20160509,433.50000000,463.72300000,433.50000000,463.72300000,0.24593376,0.00054888
20160510,463.72300000,468.72300000,462.66800000,462.66800000,12.94245946,0.02775125
20160511,462.66906384,462.66906384,433.50000000,435.50000000,11.41174931,0.02551397
20160512,451.00000000,454.00000000,451.00000000,454.00000000,19.37877679,0.04270000
20160513,468.72300000,468.72300000,452.00000000,468.72300000,16.67322488,0.03664655
20160516,465.50000000,465.50000000,452.00000000,465.50000000,15.50019729,0.03407654
20160517,452.00000000,452.00000000,451.50000000,451.50000000,55.15479288,0.12203494
20160518,462.00000000,462.00000000,440.65000000,462.00000000,271.23645900,0.60226197
20160519,455.00000000,455.00000000,455.00000000,455.00000000,13.79080885,0.03030947
20160520,460.00000000,460.00000000,430.00000000,430.00000000,54.31173218,0.12356979
20160521,460.00000000,460.00000000,424.11100000,424.50000000,333.41605630,0.76321051
20160522,424.80000000,424.80000000,423.30000000,423.30000000,17.63198730,0.04153990
20160524,421.00000000,421.00000000,421.00000000,421.00000000,35.57450000,0.08450000
20160525,458.00000000,458.00000000,458.00000000,458.00000000,0.19236000,0.00042000
20160526,421.00000000,455.00000000,421.00000000,455.00000000,0.00648207,0.00001501
20160527,455.00000000,471.00000000,455.00000000,470.00000000,941.51707293,2.02499892
20160528,484.98999999,516.00000000,471.00000000,471.00000000,697.17901680,1.39104625
20160529,510.00000000,540.00000000,500.00000000,520.08000001,105.00909229,0.20208216
20160530,536.60000000,536.60000000,536.60000000,536.60000000,15.09322186,0.02812751
20160531,549.79999934,549.79999934,539.00000000,539.00000000,5.81161882,0.01064313
20160601,530.00000000,538.90000000,530.00000000,538.90000000,87.99977430,0.16353731
20160602,500.80000001,538.90000000,500.80000001,500.80000001,7.25168287,0.01404041
20160603,501.16000000,588.08000000,501.10000001,588.07799997,417.92749012,0.77667684
20160604,571.99999990,579.60000000,510.01000020,515.00100001,864.41357471,1.49200320
20160605,603.91199983,603.91199983,603.91199963,603.91199963,0.38184146,0.00063228
20160606,608.67199999,608.67200000,524.00000005,598.99999995,8.04095724,0.01347667
20160607,598.99999994,598.99999994,597.97999999,597.98000000,0.70904839,0.00118563
20160608,595.99999989,595.99999990,595.99999989,595.99999990,6.73173654,0.01129486
20160610,550.10100000,550.10100000,550.10100000,550.10100000,4.96180650,0.00901981
20160611,579.99999952,597.90000000,579.99999952,597.90000000,55.02465902,0.09404125
20160612,597.90000000,645.00000000,571.00000206,645.00000000,732.04230783,1.17442169
20160613,644.61000000,697.98999999,634.00000045,690.11600002,3247.93575469,4.98303668
20160614,697.11600000,697.11600000,601.00000000,671.11900000,2613.86964928,3.94749299
20160615,667.00000001,675.11900000,666.99000000,675.11900000,3045.29210076,4.51650056
20160616,675.11900000,774.94000000,675.11900000,770.16000017,2151.71392823,3.03350664
20160617,773.13000000,773.13000000,644.93999999,755.00000000,3649.49252539,5.08041077
20160618,730.00000000,770.01300000,730.00000000,735.00000000,2670.55297367,3.53604760
20160619,768.00300000,770.01300000,745.00000000,745.00000000,937.48337498,1.22533277
20160620,746.00000000,746.00000000,725.00000000,725.00000000,1016.56073253,1.39852448
20160621,725.00000000,725.00000000,640.80749999,640.80749999,4274.10039548,6.06487073
20160622,677.76999951,686.89248001,611.00000000,611.00000000,1416.51589587,2.15231673
20160623,571.00000205,620.59799990,564.44000000,620.59799990,516.01626772,0.89109422
20160624,655.99999999,667.64000000,631.89200001,658.89200001,844.31549997,1.30233315
20160625,695.82900000,712.99900000,630.01000000,630.01000000,631.49817508,0.91259325
20160626,640.00000000,640.00000000,623.00000000,623.00000000,133.78255886,0.21147809
20160627,625.00000000,625.00000000,625.00000000,625.00000000,1.41875000,0.00227000
20160628,625.00000002,660.00000000,625.00000002,660.00000000,640.23941606,0.97008677
20160629,628.00000001,663.18700000,625.00000000,637.56400000,225.83441675,0.35728312
20160630,647.56399997,675.00000000,635.22500000,670.00000000,469.93658334,0.70917020
20160701,678.90000000,679.00000000,650.66800000,650.66800000,100.92656895,0.15282976
20160702,660.00000000,696.00000000,660.00000000,696.00000000,223.61567124,0.32609642
20160703,685.00000000,685.00000000,660.00000000,660.00000000,514.71857652,0.77457690
20160704,666.00000000,666.00000000,666.00000000,666.00000000,0.93112794,0.00139809
20160705,666.00000000,666.00000000,650.00000000,650.00000000,55.10723706,0.08366529
20160706,650.00000000,650.00000000,650.00000000,650.00000000,2.15359300,0.00331322
20160707,677.99000000,677.99000000,610.00000000,630.00000000,984.75419015,1.55883460
20160708,640.00000000,659.88888889,640.00000000,659.88888889,3491.93245067,5.36927478
20160709,659.88888889,660.03641978,625.90499999,630.00000000,227.24848908,0.35745422
20160710,665.69999749,665.69999750,665.69999480,665.69999480,51.81686936,0.07783817
