[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170721,230.00000000,589.00000000,180.60000000,186.00000000,102539.90037334,476.92448022
20170722,188.99823054,198.99954316,188.99823054,196.13700001,60299.80122625,310.86790593
20170723,198.99984772,199.98099997,186.14900001,192.00000000,121711.58351334,624.61792321
20170724,191.00000000,218.99699998,190.99968502,208.46874990,142618.56265597,682.98282725
20170725,208.41299990,213.46900000,181.86700000,196.22600000,197379.75959315,1006.70526989
20170726,193.87159748,200.00000000,184.00000000,191.97299999,127306.80277946,660.40829553
20170727,192.19225000,199.01125000,190.00100001,194.00000000,52727.06612516,271.37593981
20170728,197.76184455,197.76199998,177.09800000,184.99967392,46335.97601774,250.24068419
20170729,184.00000000,186.01600000,168.00000002,185.00000000,130086.21721286,741.96987398
20170730,187.34903346,188.00000000,170.12500000,172.80699999,109338.09397400,624.71476005
20170731,172.00000000,179.99999873,170.50717339,176.27631093,175326.78738610,1008.21853789
20170801,176.27753173,187.04799999,171.60337096,184.61725123,259791.10034635,1451.13538763
20170802,181.56300002,186.75699997,180.46300000,183.69900000,87601.21634173,479.57635189
