[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170714,40.48461000,42.75000000,40.00000000,42.04362036,8863.06734769,213.63681108
20170715,42.04362036,42.04362036,37.19000000,38.50000000,117177.38288490,2967.26449975
20170716,38.50000000,42.61526087,35.10000000,39.63500000,613775.75015512,15702.34207860
20170717,41.08000001,48.31200000,38.75100000,42.14900000,852797.13478582,20254.46076207
20170718,42.14900000,47.00000000,40.40000000,43.00100000,834195.40182139,19209.94340585
20170719,43.48400000,44.10815992,38.84400000,39.00000000,469636.63367916,11270.99235445
20170720,40.31499999,46.55000000,40.31371407,44.32100000,791508.08146402,18012.60722520
20170721,44.97593752,48.05839086,43.88000000,45.96299995,543238.32677783,11883.59183007
20170722,45.95933633,47.70000000,44.60200000,47.00100000,328795.39489903,7103.13479017
20170723,47.00100000,47.49200000,43.70100000,44.95000000,464837.08323441,10222.27529094
20170724,44.93799603,45.75900000,43.81000012,45.00000000,199657.51784529,4438.23672719
20170725,45.00000000,45.69999995,39.68000000,42.10000000,608723.29821906,14562.82161878
20170726,42.10000000,43.00000000,40.08300027,41.80000000,280548.59665122,6764.32484883
20170727,41.79277952,42.50000000,40.62600002,41.57100019,243593.25546333,5837.07342753
20170728,42.05984219,42.29999999,39.84110500,40.23100000,421395.76890345,10304.57516066
20170729,40.23200000,41.69900000,38.33300000,41.34999994,354749.53260921,8960.07147631
20170730,41.33683900,42.12071225,39.51000007,40.26800000,242851.21383505,5956.77326550
20170731,39.90000000,43.41000000,38.20000000,42.41300000,672058.86162446,16313.19948893
20170801,41.79400003,44.40000000,39.59990002,43.21999999,1433972.62574706,33926.92598475
20170802,42.99930151,43.30000000,41.20000000,42.01999998,689495.66890291,16296.07963698
