[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170714,0.17500000,0.31000000,0.17400000,0.18400000,204.02573882,1124.00024081
20170715,0.18500000,0.18822450,0.13600000,0.17123643,84567.21030593,519040.63667188
20170716,0.17100000,0.17500000,0.12700000,0.15399971,140778.03530789,976509.71617529
20170717,0.15299999,0.17100000,0.14000000,0.17009800,137890.27186586,873679.75238777
20170718,0.17009800,0.19000000,0.15900000,0.17999676,141917.76694946,799392.71641873
20170719,0.17999206,0.18500000,0.15500000,0.16000000,216252.96058557,1232673.93733910
20170720,0.16200000,0.19899999,0.16050000,0.19200000,214441.69891840,1166592.62165529
20170721,0.18999961,0.19300000,0.18140000,0.18140000,128602.42229420,684162.29421965
20170722,0.18144500,0.21400000,0.18100000,0.19800000,325799.39282937,1661709.24019916
20170723,0.19900000,0.20899999,0.18650001,0.19600151,394911.40192854,1990108.50137137
20170724,0.19879727,0.19999831,0.19000000,0.19200000,113083.93258462,579460.37783240
20170725,0.19399926,0.19399999,0.16375214,0.17500000,287420.93168333,1633400.98996672
20170726,0.17500000,0.17999998,0.16441315,0.17500000,171922.33019879,1005129.72478566
20170727,0.17100303,0.17589000,0.16900000,0.17200000,210110.80665145,1210246.04254267
20170728,0.17489629,0.17489629,0.15590012,0.16200000,156457.44181113,943093.58646979
20170729,0.16200000,0.17199997,0.15300003,0.17100000,105944.29713673,651076.89793117
20170730,0.17100000,0.17234000,0.16000333,0.16397242,82710.63310480,494281.51057516
20170731,0.16102909,0.16899964,0.15810001,0.16699357,154890.26029031,950431.58876410
20170801,0.16700000,0.18500000,0.15500001,0.17700000,606231.47188343,3577697.03922227
20170802,0.17800000,0.18000000,0.16700000,0.17100000,278027.41003268,1604118.53208842
