[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20170714,950.00000000,950.00000000,120.00000000,166.00000001,62.00724398,0.32385061
20170715,183.99999999,183.99999999,122.00000305,160.10000005,7336.10788711,43.25316901
20170716,160.10000005,164.10000000,140.33500000,164.10000000,18996.53098280,123.51180582
20170717,164.10000000,186.00000000,159.45700001,174.20400000,17959.83731519,102.82963964
20170718,179.20200000,226.52199124,168.60000001,200.79559015,93549.36701762,472.11220354
20170719,200.79559015,218.00113761,176.50000005,176.50000005,78472.41116344,395.08172665
20170720,184.98500000,220.00000000,182.00000005,208.04763642,145822.38952277,703.61475421
20170721,209.99927901,216.40000000,200.23600000,205.00000000,40125.13463522,190.70321361
20170722,202.00100000,219.99999999,202.00000000,215.00000003,71342.11196181,332.43998530
20170723,216.00000000,226.79684900,209.00000000,211.50000000,96532.73521831,445.95270551
20170724,211.50000000,214.18100000,208.00000001,211.00000000,36244.15491663,172.05887004
20170725,211.00028437,211.99285742,176.76700000,187.00000000,132204.44704869,705.02550909
20170726,186.99950993,192.99967473,175.12300000,186.20065354,124794.73996219,673.06368475
20170727,186.20517485,192.99999674,182.50567048,183.01300008,40999.72629237,218.16992794
20170728,185.00000891,192.00000000,171.10000216,173.94809249,100854.30538812,552.75572403
20170729,176.15196470,187.00000000,164.02001764,185.96466556,68268.12163719,392.30877870
20170730,185.96082684,185.96082684,174.00000055,174.10000000,17519.34055900,98.17060617
20170731,172.21700000,175.33481961,168.00000003,172.49912875,39375.52229906,230.33471999
20170801,172.50034782,198.01560222,171.81400000,190.00000005,185932.65456027,1003.78940379
20170802,190.00000005,195.00000000,180.96000000,184.12325989,166290.98724621,881.77143282
