[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20141201,300.00000000,370.00000000,300.00000000,370.00000000,28.12220620,10369.51629400
20141202,370.00000000,378.00000000,370.00000000,378.00000000,2473.20717266,934798.80458420
20141203,378.00000000,378.00000000,377.01000000,378.00000000,62.91345108,23764.53750824
20141204,378.00000000,378.00000000,377.10000000,377.10000000,1.09000000,412.01100000
20141206,378.00000000,378.00000000,378.00000000,378.00000000,0.01500000,5.67000000
20141208,375.01000000,375.01000000,375.00000000,375.00000000,0.23500000,88.12510000
20141210,398.00000000,398.00000000,360.50000000,360.50000000,0.02000000,7.58500000
20141212,379.00000000,379.00000000,350.00000000,350.00000000,4.44000000,1582.78890000
20141218,345.00000000,345.00000000,340.00000000,340.00000000,2.00000000,685.00000000
20150108,360.00000000,360.00000000,264.81000000,288.99000000,17.24000000,5049.90210000
20150113,260.00000000,260.00000000,260.00000000,260.00000000,1222.00000000,317720.00000000
20150114,260.00000000,260.00000000,109.87000000,120.00000000,42.30000654,7169.14886107
20150115,170.00000000,224.00000000,120.00000000,204.22000000,228.19467854,42687.79279440
20150116,210.98000000,225.50000000,189.00000000,199.46000000,18.34000000,3592.99520000
20150117,203.69000000,210.00000000,184.00000000,184.00000000,24.97500000,5210.25100000
20150119,210.00000000,225.51000000,210.00000000,225.51000000,50.71000000,10836.92610000
20150120,225.51000000,225.51000000,208.00000000,218.00000000,14.40000000,3191.88430000
20150121,218.00000000,225.51000000,218.00000000,225.51000000,7.55060432,1689.80809020
20150122,225.51000000,257.73000000,216.59000000,226.32000000,22.59679818,5273.63315757
20150123,226.32000000,235.00000000,215.00000000,235.00000000,23.96007000,5507.78625000
20150124,235.00000000,250.58000000,215.00000000,240.00000000,80.97000000,19851.57000000
20150125,250.00000000,256.26000000,240.00000000,254.53000000,2146.54368528,535017.08271677
20150126,254.53000000,322.72000000,241.43000000,274.48000000,11762.73793183,3363921.75497825
20150127,274.73000000,278.47000000,244.03000000,263.65000000,2435.46673932,637234.57195493
20150128,263.67000000,265.99000000,228.50000000,236.09000000,6733.46144387,1671994.03461289
20150129,235.89000000,242.00000000,221.14000000,235.03000000,7959.13348443,1856658.22455732
20150130,235.00000000,244.59000000,227.89000000,229.07000000,7466.99669209,1746632.19996094
20150131,230.06000000,234.67000000,217.11000000,218.45000000,7400.29841265,1691854.62540285
20150201,218.67000000,233.79000000,210.00000000,228.99000000,8770.76460522,1942056.88774938
20150202,228.39000000,240.10000000,220.89000000,237.83000000,9400.15054657,2142816.32856999
20150203,237.83000000,243.90000000,225.32000000,228.58000000,9719.41667405,2302619.01589404
20150204,228.77000000,230.99000000,221.50000000,227.11000000,9712.06246381,2196137.98990088
20150205,227.11000000,228.90000000,215.00000000,216.76000000,8641.16652825,1913387.82077369
20150206,216.84000000,226.64000000,216.03000000,223.20000000,6019.76846967,1332438.69327728
20150207,223.20000000,230.50000000,222.67000000,229.00000000,4698.66518700,1066213.22345969
20150208,229.16000000,231.60000000,220.00000000,223.99000000,5017.05611780,1131250.58699049
20150209,224.00000000,225.00000000,216.45000000,221.10000000,7019.02915365,1552120.48648356
20150210,221.13000000,222.00000000,215.00000000,220.87000000,6936.25105365,1519163.73469873
20150211,220.87000000,223.61000000,217.46000000,219.81000000,9386.71530722,2077245.60739995
20150212,219.96000000,224.61000000,218.00000000,223.21000000,8090.33853586,1786722.78274822
20150213,223.20000000,242.36000000,221.55000000,236.49000000,15503.64393886,3631107.86394816
20150214,236.92000000,259.98000000,236.08000000,256.66000000,15613.47350534,3885296.01928389
20150215,256.66000000,267.86000000,228.00000000,235.54000000,17119.60062511,4229134.92475444
20150216,235.54000000,241.00000000,229.60000000,234.68000000,10762.59650771,2532150.91610515
20150217,234.41000000,248.00000000,233.00000000,244.82000000,16972.47555818,4087033.82666536
20150218,244.90000000,246.00000000,231.93000000,237.49000000,13037.34769694,3122723.63083709
