[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20141031,36880.00000000,39310.00000000,36880.00000000,37510.00000000,170.63580000,6566104.07799994
20141101,37510.00000000,39000.00000000,35620.00000000,36090.00000000,796.48240000,29607442.79700046
20141102,36090.00000000,38570.00000000,35840.00000000,35840.00000000,387.68900000,14689275.40399989
20141103,35840.00000000,38300.00000000,35840.00000000,35910.00000000,593.95380000,21819836.24400010
20141104,35910.00000000,38300.00000000,35910.00000000,36490.00000000,498.06650000,18480610.10100004
20141105,36490.00000000,40680.00000000,36490.00000000,40680.00000000,624.33080000,23933025.78200022
20141106,40680.00000000,45000.00000000,38280.00000000,43340.00000000,623.41292808,25790485.15115996
20141107,42170.00000000,43340.00000000,40020.00000000,41510.00000000,870.45480000,35939511.70400005
20141108,41510.00000000,41560.00000000,40980.00000000,41560.00000000,543.73930000,22542352.59200035
20141109,41560.00000000,41560.00000000,40790.00000000,41000.00000000,458.28030000,18714717.34799998
20141110,41000.00000000,42500.00000000,41000.00000000,42320.00000000,67.38045835,2848945.47061966
20141111,42320.00000000,43800.00000000,42320.00000000,42910.00000000,870.52057921,37370564.87149847
20141112,42910.00000000,47500.00000000,42910.00000000,47500.00000000,514.84341796,23280921.28064787
20141113,47500.00000000,54720.00000000,45360.00000000,45360.00000000,550.03832059,28376809.52865026
20141114,45440.00000000,49160.00000000,44760.00000000,48580.00000000,401.76345118,19073189.43179125
20141115,47600.00000000,48340.00000000,42820.00000000,42820.00000000,410.63943000,18891278.04496048
20141116,44760.00000000,47740.00000000,42820.00000000,43580.00000000,215.05306000,9968242.88514620
20141117,43580.00000000,49690.00000000,43580.00000000,47030.00000000,396.02069015,18916559.43275172
20141118,47030.00000000,48600.00000000,45910.00000000,45910.00000000,149.86938868,7023375.99448790
20141119,45910.00000000,48210.00000000,44520.00000000,47240.00000000,1079.53062062,49078840.36251841
20141120,47240.00000000,47240.00000000,44230.00000000,44730.00000000,601.03170000,27019938.38599955
20141121,44730.00000000,44830.00000000,42760.00000000,43950.00000000,305.82026680,13435340.49853603
20141122,43950.00000000,44490.00000000,43100.00000000,44490.00000000,485.59180711,21453224.61017361
20141123,44490.00000000,44840.00000000,43100.00000000,44530.00000000,85.96134540,3801148.35980588
20141124,44530.00000000,45980.00000000,43100.00000000,45980.00000000,581.98023000,25636678.90900038
20141125,45980.00000000,48770.00000000,43960.00000000,45230.00000000,683.17686143,32097427.13310750
20141126,45230.00000000,47130.00000000,44000.00000000,44000.00000000,183.93618000,8400881.59083563
20141127,44000.00000000,46790.00000000,44000.00000000,44010.00000000,425.20333000,19118340.95220002
20141128,44010.00000000,46020.00000000,44010.00000000,45270.00000000,303.03464000,13812346.03660005
20141129,45270.00000000,46150.00000000,44760.00000000,44890.00000000,231.46703318,10475415.48873705
20141130,44890.00000000,47130.00000000,44890.00000000,47000.00000000,651.97920000,29877023.86700003
20141201,47000.00000000,47830.00000000,45320.00000000,45320.00000000,324.28877816,15053864.91445591
20141202,45320.00000000,47520.00000000,45320.00000000,45690.00000000,407.53968000,18847868.71579996
20141203,45690.00000000,48190.00000000,45690.00000000,46440.00000000,298.23251000,14123192.67399980
20141204,46440.00000000,54980.00000000,45900.00000000,46500.00000000,452.52825470,21171905.77341228
20141205,46500.00000000,48340.00000000,45000.00000000,46950.00000000,294.89812000,13789904.07910008
20141206,46950.00000000,47600.00000000,45910.00000000,46990.00000000,482.17783463,22624457.78146370
20141207,46990.00000000,46990.00000000,46500.00000000,46500.00000000,1056.13623069,49127383.31012314
20141208,46500.00000000,48190.00000000,45640.00000000,45870.00000000,661.19914037,30862831.07329247
20141209,45870.00000000,46490.00000000,43100.00000000,43100.00000000,290.18686512,13077083.70322092
20141210,43100.00000000,53000.00000000,41590.00000000,43580.00000000,1868.42899260,81446840.67392641
20141211,42780.00000000,45840.00000000,42210.00000000,44190.00000000,2395.31152736,105111415.81791958
20141212,43350.00000000,46100.00000000,41965.00000000,44760.00000000,2629.80399110,116350697.61827512
20141213,43840.00000000,46999.00000000,42030.00000000,44700.00000000,3162.78443330,139769262.36727974
20141214,42930.00000000,44700.00000000,42100.00000000,43000.00000000,772.08785578,33535109.55154004
20141215,43000.00000000,43980.00000000,42200.00000000,43290.00000000,735.47193768,31718667.27316662
20141216,43290.00000000,43320.00000000,40300.00000000,40300.00000000,213.24239261,8939567.00707436
20141217,40800.00000000,42900.00000000,37790.00000000,38500.00000000,405.14094877,16431745.26411261
20141218,38500.00000000,43350.00000000,37500.00000000,39180.00000000,622.59682182,24392379.96978416
20141219,38500.00000000,42970.00000000,38020.00000000,40080.00000000,942.56570000,37484811.75650046
20141220,39980.00000000,40330.00000000,38560.00000000,40330.00000000,1048.75331000,41860050.55429889
20141221,40330.00000000,41110.00000000,39080.00000000,40400.00000000,1130.55718000,45414370.90740049
20141222,40400.00000000,41990.00000000,38990.00000000,41740.00000000,629.39158000,25756533.94609981
20141223,41370.00000000,42150.00000000,41080.00000000,41210.00000000,1499.33849408,61941880.86660438
20141224,41210.00000000,42000.00000000,40500.00000000,41226.00000000,597.81871931,24768422.87706719
20141225,41226.00000000,41226.00000000,39750.00000000,40110.00000000,513.50586000,20666298.83339998
20141226,40110.00000000,41130.00000000,40110.00000000,40520.00000000,2181.84626000,88252438.46260005
20141227,40520.00000000,41510.00000000,39010.00000000,39010.00000000,1252.46112246,50690787.87042576
20141228,39010.00000000,39980.00000000,38540.00000000,39420.00000000,881.79233055,34975533.29730699
20141229,39420.00000000,39860.00000000,38000.00000000,39060.00000000,466.61587758,18260356.73242906
20141230,39060.00000000,39890.00000000,37970.00000000,38870.00000000,330.97950366,12998169.89319829
20141231,38870.00000000,39120.00000000,38070.00000000,38430.00000000,1131.32555548,43893021.96818519
20150101,38430.00000000,38860.00000000,38310.00000000,38610.00000000,968.60395000,37531317.16050190
20150102,38610.00000000,39730.00000000,38000.00000000,39730.00000000,731.02144555,28049371.35357974
20150103,38500.00000000,39730.00000000,36700.00000000,36700.00000000,1115.15445847,42817118.71685997
20150104,36290.00000000,36290.00000000,31250.00000000,32700.00000000,1169.67441453,38663004.21265052
20150105,32700.00000000,38030.00000000,32700.00000000,34880.00000000,879.68140054,31002246.27287569
20150106,34880.00000000,36970.00000000,33630.00000000,35620.00000000,386.44855892,13495561.86690741
20150107,35620.00000000,35890.00000000,34010.00000000,35710.00000000,842.86259072,29696750.55923328
20150108,35710.00000000,36000.00000000,34540.00000000,34610.00000000,382.57046697,13509116.43283639
20150109,34610.00000000,35510.00000000,33990.00000000,34930.00000000,2284.70884515,79604621.51605870
20150110,34930.00000000,35120.00000000,33000.00000000,33000.00000000,2822.94737094,96376754.99053437
20150111,33000.00000000,33470.00000000,32430.00000000,32810.00000000,2387.18509897,78523296.09959562
20150112,32810.00000000,33200.00000000,32040.00000000,33190.00000000,1041.15451528,33993367.76012792
20150113,33190.00000000,34340.00000000,28020.00000000,28940.00000000,1019.26880419,31471248.06918949
20150114,28940.00000000,28940.00000000,20000.00000000,21450.00000000,1356.84874205,34511287.11466302
20150115,21450.00000000,26570.00000000,21450.00000000,26070.00000000,1424.81427220,35393444.94729035
20150116,26070.00000000,26800.00000000,25090.00000000,25390.00000000,1006.50063964,26045306.56462099
20150117,25390.00000000,25390.00000000,24000.00000000,24310.00000000,1209.91400300,29764680.52368364
