[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140108,624.01000000,640.00000000,600.00000000,613.47231000,331.48165002,204958.39449181
20140109,613.47231000,626.99990000,590.00000000,614.22456000,583.33433051,355744.84586629
20140110,615.00000000,630.00000000,605.00000000,625.73866000,323.04737919,199327.05788665
20140111,626.17401000,658.99999000,623.30000000,653.89888000,561.25679195,361578.57647619
20140112,653.89888000,659.98000000,613.00555000,625.26660000,477.75793092,302729.09904970
20140113,626.09847000,628.36950000,590.00000000,611.80000000,607.29369353,369088.56353624
20140114,612.04000000,621.59346000,603.00000000,609.21590000,274.65847099,168015.18174933
20140115,609.22590000,629.33100000,605.10500000,624.70000000,346.36364197,215238.96311799
20140116,624.70000000,626.61000000,610.00000000,610.00000000,293.74937580,181349.16429546
20140117,610.01000000,615.49000000,562.25141000,585.36822000,684.73499283,405899.77981252
20140118,585.36822000,608.99100000,585.36822000,596.97300000,282.18111900,168609.22956787
20140119,598.66600000,690.00100000,593.24000000,612.55555000,331.49333765,201103.95325687
20140120,612.00200000,624.07705000,603.11000000,613.98000000,186.07922890,113754.59574926
20140121,613.98000000,620.00000000,600.17898000,611.09264000,240.35885873,146674.44751431
20140122,612.00000000,615.00000000,601.17515000,605.72600000,248.13988207,150691.48190852
20140123,607.95000000,609.99990000,600.12000000,603.00000000,186.77501071,113099.80220987
20140124,606.00000000,606.00000000,576.00000000,580.00000000,461.40820413,271982.79064020
20140125,580.01000000,599.00000000,576.00000000,592.88444000,191.33798754,112904.50295864
20140126,595.00000000,610.00000000,588.80000000,595.70000000,236.82064425,142416.33822637
20140127,598.22675000,603.99000000,535.00000000,548.15039000,632.45948480,365940.65264526
20140128,546.78412000,605.00000000,545.10000000,584.00000000,540.09830289,313979.81391733
20140129,585.34000000,598.00000000,575.00000000,581.01001000,240.56327348,141185.92478144
20140130,581.01001000,598.89780000,575.00555000,592.00000000,374.27484208,220067.03628468
20140131,591.69341000,596.74000000,584.01000000,595.88999000,198.43785049,117537.44791521
20140201,595.18999000,605.50000000,593.17999000,600.84909000,229.58025867,137642.44246119
20140202,602.34822000,610.00000000,599.88000000,602.56000000,150.36622541,90961.15089320
20140203,602.56000000,604.48199000,594.00000000,598.40000000,208.41462710,124630.60131877
20140204,598.39700000,600.88324000,590.00000000,595.65000000,292.62066020,174353.18585210
20140205,596.17000000,598.74100000,590.00000000,590.00000000,229.84585420,136548.35908933
20140206,591.20000000,594.99400000,561.00000000,568.98910000,587.67998646,341091.20077837
20140207,568.98100000,570.00000000,502.10000000,525.00000000,1448.68947735,778340.93967459
20140208,524.00000000,539.53770000,502.20000000,506.95623000,366.53079925,189985.58712078
20140209,507.19578000,537.26975000,501.10000000,507.00361000,449.10112124,232924.77372759
20140210,510.27358000,522.43959000,402.10001000,504.99000000,1454.27924432,703311.32624794
20140211,504.90321000,524.97000000,470.00000000,498.48540000,1109.35389784,554475.75239179
20140212,499.00000000,503.10000000,478.00000000,492.17151000,578.00482686,284023.55790820
20140213,492.17151000,498.97200000,450.00000000,452.30001000,931.41851177,443003.59245151
20140214,454.99899000,518.76576000,430.00000000,497.00000000,1789.82134508,844257.67043151
20140215,492.71300000,495.00000000,471.00000000,483.00000000,410.31067371,197956.28346391
20140216,479.04147000,489.88000000,440.00000000,454.00000000,911.96583990,418597.80929485
20140217,455.79000000,485.00000000,450.00000000,465.02000000,886.99551173,416987.47561958
20140218,465.02000000,474.00886000,450.00000000,463.00000000,509.40384399,235673.41641740
20140219,463.00000000,464.00000000,455.00000000,457.00000000,379.26309695,174526.81306065
20140220,459.06450000,463.55555000,406.34831000,407.00000000,1600.99943876,692318.31349576
20140221,407.00000000,437.00000000,390.18000000,421.00000000,1147.17131688,477724.56155967
20140222,422.19900000,452.00000000,410.07700000,443.98000000,1080.22850689,465885.38739942
20140223,443.99000000,468.99990000,435.01000000,444.08659000,1061.68489684,482025.40324074
20140224,442.97859000,447.30000000,401.00000000,405.01070000,1055.88459296,442864.71184627
20140225,407.02980000,410.24720000,320.11002000,390.00000000,2228.74939794,821746.93360331
20140226,389.24409000,441.03000000,370.50000000,432.71612000,1867.34684378,793182.73610560
20140227,432.12608000,438.01000000,423.15441000,428.94449000,888.32209174,383020.57689378
20140228,429.90000000,432.00000000,400.00000000,409.62790000,1343.53802639,561818.84948149
20140301,409.63790000,420.66661000,406.01000000,418.10000000,391.15130002,162582.38243912
20140302,418.10000000,422.12088000,412.01000000,417.56270000,317.07488353,132347.18688679
20140303,416.03910000,506.90000000,412.89000000,482.49400000,2820.50171809,1279174.15339288
20140304,480.11570000,505.64230000,477.81300000,489.37083000,1806.61737466,889460.37226808
20140305,489.37083000,492.00000000,471.10000000,487.79920000,873.92038318,421405.99416365
20140306,489.25617000,490.00000000,475.00000000,479.46337000,705.33737599,340268.51648335
20140307,481.71361000,485.00000000,450.00000000,461.90000000,1197.81750756,555609.75662807
20140308,461.20148000,464.83569000,445.01000000,453.79562000,550.15643700,249860.03827207
20140309,452.51000000,470.51535000,448.83000000,463.00000000,643.03194041,296586.06154394
20140310,462.84073000,466.00000000,451.00000000,454.87200000,574.10988982,262427.29358627
20140311,454.81313000,462.00000000,451.10000000,457.42613000,447.58652549,204190.95986943
20140312,457.42613000,470.00000000,455.71100000,460.21265000,563.10440169,260219.17544332
20140313,458.38005000,468.00000000,458.00000000,463.18249000,398.54080354,185007.00398401
20140314,463.18249000,466.88000000,455.30000000,457.68211000,475.62139021,219245.66120104
20140315,458.19693000,464.94000000,453.01000000,459.70056000,343.44428002,157535.27163735
20140316,459.70056000,461.17000000,456.77000000,457.03100000,147.56457996,67633.50455934
20140317,458.67336000,460.58000000,447.00000000,448.93918000,476.40138107,215396.69209506
20140318,448.51000000,455.00000000,435.00000000,446.02100000,853.88663880,377994.66464028
20140319,446.90000000,451.26151000,436.37620000,441.22593000,571.80921518,253379.86862871
20140320,441.22483000,441.22483000,420.00000000,425.97207000,735.32827505,316761.15741994
20140321,425.97207000,440.60377000,412.10905000,416.53576000,1103.66085876,467938.00855859
20140322,417.13041000,419.52362000,400.00000000,411.21662000,736.18534974,300873.36216509
20140323,411.67513000,417.99999000,408.34723000,411.34000000,290.05545421,120026.59028583
20140324,412.67692000,430.00000000,403.61535000,422.82322000,872.49140267,362595.09504994
20140325,423.26380000,429.70000000,415.14000000,423.14000000,689.77954152,290764.45603010
20140326,422.14092000,428.40000000,415.39000000,425.30000000,785.65929441,332422.80383147
20140327,425.92442000,426.36300000,360.00000000,367.50812000,2198.46816794,872962.60198176
20140328,364.95780000,395.00000000,361.76119000,379.84000000,1221.35183226,463310.45885902
20140329,378.46140000,379.50000000,362.10000000,364.00000000,443.92634757,164402.79568630
20140330,364.00000000,365.41490000,321.84200000,340.75659000,1365.12265614,467236.67051241
20140331,340.73793000,353.87090000,325.12000000,335.00000000,821.91217408,276269.92122151
20140401,335.00000000,444.80067000,331.33050000,360.67161000,1558.34464743,555601.24855172
20140402,362.04919000,370.00000000,321.00000000,324.12339000,1773.16696847,607318.86196617
20140403,324.12339000,339.12010000,307.00090000,329.38200000,1367.15665362,440800.22745910
20140404,329.45932000,337.00000000,317.20000000,330.58622000,745.64278157,245587.35989100
20140405,330.93649000,334.97859000,325.47492000,334.90000000,336.53926459,111671.43712840
20140406,334.90000000,344.43300000,330.51000000,336.54031000,341.01604405,114839.30287351
20140407,337.94470000,338.39271000,325.18600000,332.00220000,594.82948903,198635.96844709
20140408,332.00000000,338.00000000,330.11001000,332.35089000,540.76560243,180338.00603814
20140409,332.35089000,335.87000000,325.20001000,325.34015000,748.10266639,247115.04739483
20140410,325.25442000,325.77252000,274.01000000,275.39342000,2494.23360303,742479.75957272
20140411,275.39672000,314.46660000,252.02100000,309.00000000,2789.76383349,806004.08351869
20140412,308.06791000,320.00000000,306.00000000,310.59916000,548.02820266,171219.70480495
20140413,310.65731000,311.14850000,288.58000000,300.89619000,787.96667285,235004.55065561
20140414,300.31036000,339.00000000,296.10000000,335.58000000,2260.57342253,739137.12632516
20140415,335.58000000,379.99990000,310.00000000,372.09210000,2635.77835610,944389.67586127
20140416,373.02834000,399.00000000,350.99000000,378.44938000,2717.19955666,1018104.52320614
20140417,378.44938000,380.69065000,350.50000000,366.62027000,1477.40459629,537562.35660052
20140418,368.00000000,369.00000000,343.86830000,352.80000000,690.09760152,242976.41827304
20140419,352.80000000,365.00000000,345.50000000,363.00000000,710.92636310,255182.12369053
20140420,362.92321000,370.00000000,352.60068000,362.02129000,298.07385363,108056.45945885
20140421,362.02129000,369.10000000,357.00000000,359.26932000,387.72632194,140291.77520908
20140422,360.44438000,363.00000000,351.73973000,353.00000000,286.50759661,102654.72987582
20140423,351.80000000,359.37000000,351.00000000,354.50000000,486.79759772,173117.06947875
20140424,355.48506000,358.93000000,350.36460000,358.50000000,580.05744749,205812.73247654
20140425,358.50000000,361.00000000,315.18014000,335.06152000,1770.74388756,594883.35104511
20140426,335.06152000,339.55658000,327.50271000,332.65678000,710.24079674,237146.03899065
20140427,332.64532000,334.49000000,317.38381000,318.49608000,551.95634150,179614.50995542
20140428,318.49608000,327.77000000,308.00000000,321.89456000,988.17340795,312554.48829928
20140429,320.66461000,326.99000000,313.00000000,324.62707000,1157.92489294,372377.67756053
20140430,324.00000000,327.69083000,316.30000000,324.16995000,737.21800756,237190.07521883
20140501,324.17000000,334.89000000,321.50000000,332.44000000,664.64824927,219071.21634911
20140502,332.58100000,332.80000000,321.57000000,325.04339000,620.59922427,202007.04788344
20140503,324.69036000,328.00000000,311.00000000,316.57864000,592.95651066,188731.47973030
20140504,316.57864000,318.47500000,311.80000000,315.98999000,163.53278156,51378.79768408
20140505,315.98999000,320.06145000,309.40000000,312.06069000,565.02231603,176695.54038292
20140506,312.00000000,315.00000000,305.00000000,310.00000000,733.27980990,227227.50921372
20140507,310.35284000,325.00000000,309.00000000,318.00000000,1028.47055203,327226.69242119
