[Date],[Open],[High],[Low],[Close],[Volume-crypto],[Volume-currency]
20140107,874.67040000,892.06753000,810.00000000,810.00000000,15.62237812,13151.47284430
20140108,810.00000000,899.84281000,788.00000000,824.98287000,19.18275555,16097.32958344
20140109,825.56345000,870.00000000,807.42084000,841.86934000,8.15833450,6784.24998184
20140110,839.99000000,857.34056000,817.00000000,857.33056000,8.02451046,6780.22018762
20140111,858.20000000,918.05471000,857.16554000,899.84105000,18.74828487,16698.56692947
20140112,899.96114000,900.93989000,833.00001000,860.00000000,25.42943314,21880.87897592
20140113,847.32152000,859.99999000,815.00000000,835.00000000,25.86912661,21529.83949647
20140114,835.00000000,877.29300000,805.00000000,831.00000000,31.66288131,26756.27844741
20140115,831.00000000,864.00000000,828.00000000,850.00364000,6.70756459,5698.13937196
20140116,853.00000000,865.00000000,824.00000000,826.97077000,28.60201370,24229.47834969
20140117,824.12640000,835.06427000,788.00000000,804.00000000,26.35803928,21249.58040518
20140118,812.90538000,844.14159000,807.74074000,819.51000000,18.76832727,15488.33894087
20140119,819.51000000,848.90000000,819.51000000,835.00000000,11.93959203,9816.15919864
20140120,843.94804000,855.00000000,830.10000000,843.76589000,4.44675857,3747.00586896
20140121,840.00000000,845.98999000,820.10000000,829.01000000,6.89537424,5771.28159855
20140122,829.00000000,834.53144000,821.00000000,830.88999000,1.71261648,1421.64326068
20140123,822.40000000,830.88899000,821.00000000,830.88897000,11.58125085,9553.06186961
20140124,830.88897000,835.48427000,783.00000000,803.01935000,25.00906729,20467.14709020
20140125,803.01936000,830.00000000,795.07478000,812.02000000,9.92963832,8121.58912594
20140126,818.00000000,840.00000000,813.00000000,826.72139000,6.56973636,5460.46508348
20140127,826.70102000,840.00000000,780.00000000,780.00000000,35.69920751,28647.24851759
20140128,780.00000000,830.00000000,775.00000000,815.99000000,15.75364425,12683.62098517
20140129,815.99000000,826.22571000,795.00000000,795.00000000,18.92440096,15228.79163000
20140130,802.45220000,815.23135000,787.01000000,808.00000000,27.02869698,21685.05534829
20140131,808.00000000,812.63409000,801.00000000,812.19037000,12.86179583,10370.66058802
20140201,807.30274000,835.00000000,803.41261000,825.00000000,6.46833713,5349.32741074
20140202,828.99000000,835.00000000,814.86431000,814.86431000,7.24707014,5997.50007531
20140203,814.86431000,819.80000000,803.64931000,819.78000000,7.27266388,5897.35063406
20140204,808.00000000,819.78000000,799.57900000,802.40000000,11.42593687,9222.59112350
20140205,802.40000000,815.89934000,802.40000000,802.50000000,16.58783411,13331.96939168
